probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0000316	0	burg	1	26.091503268	72.8906102427	19.088229585	984.648115846	0.691786534009	0.623294652677	0.0637492280273	0.00500993673845	0.106231795635
FBgn0024989	0	mle	1	24.490797546	10.2991336694	22.1908676322	26.9428368038	0.568121942612	0.472149040971	0.363710968824	0.0228625741223	0.227415236313
FBgn0023534	0	burg	1	21.8142076503	129.98064187	8.08148841608	685.813053228	0.708050688096	0.643173063228	0.174336694108	0.00392539669063	0.0931863788765
FBgn0023535	0	burg	1	20.7916666667	52.3305778007	14.5549556409	146.020313659	0.537538794406	0.434769637607	0.345226984082	0.0311056213897	0.261319593782
FBgn0040398	0	burg	1	20.3673469388	1832.45823619	15.4734900818	8482.79308858	0.55851625481	0.460408755878	0.207081864796	0.0252415622902	0.239229882025
FBgn0040351	1	mle	1	22.1777777778	135.220369451	3.20039171871	1322.96153584	0.497596102122	0.385950791482	0.106694151164	0.0451583952976	0.316021520137
FBgn0040349	0	mle	1	20.5773195876	363.141855174	13.0096717363	642.107574241	0.626495518295	0.54349452236	0.518183590739	0.0118940888364	0.163497765457
FBgn0024364	1	yule-walker	1	26.091503268	55.9803503674	7.68636839973	347.040835965	0.631057835077	0.549070687316	0.137687898111	0.0112541399966	0.158243789715
FBgn0027794	0	yule-walker	1	20.3673469388	138.72398248	15.6955944481	680.548289818	0.631487557282	0.549595903345	0.178030463361	0.0111952733811	0.158243789715
FBgn0026876	0	mle	1	20.2639593909	18.354420471	17.535495637	92.2994154544	0.518422601229	0.411405401502	0.189207622994	0.0373247952944	0.284858079147
FBgn0040366	0	burg	1	21.4623655914	22.3461807665	18.5436618486	162.292377446	0.53828050519	0.43567617301	0.137084564556	0.0308817535735	0.260833717572
FBgn0000482	0	burg	1	26.6133333333	25.3879990523	5.20096928663	553.45725821	0.506939081138	0.397369988058	0.0546176749875	0.0415004315891	0.303012864384
FBgn0024897	0	yule-walker	2	26.7919463087,20.4717948718	26.2086100639,16.135873023	22.8707630816,1.54468480513	65.4208080371	0.919805326393	0.873979798618	0.424552748603	0.000616242517398	0.040427197477
FBgn0023530	0	burg	1	25.4267515924	33.4551344129	19.3275710759	289.714967507	0.702743352268	0.636686319439	0.105781377526	0.00425688669786	0.0977756853528
