probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0031081	1	burg	1	23.0751445087	170.525751893	19.8044658057	2240.79401215	0.516081306922	0.408543819571	0.0820935868968	0.0381483530911	0.23675890373
FBgn0000316	0	mle	1	25.4267515924	31.5759901211	23.2056035186	910.457271233	0.494818476245	0.38255591541	0.034356998148	0.0462928121116	0.262872994053
FBgn0024989	1	mle	1	21.8142076503	24.2996764251	2.14180730332	74.7620625195	0.822002278286	0.782447229016	0.257048972617	0.000423511293747	0.0231543121747
FBgn0023534	1	burg	1	24.95	133.495081773	8.65304652691	636.488572465	0.687532970825	0.618095853231	0.174979998013	0.00532867081978	0.081012712876
FBgn0023537	0	burg	1	27.156462585	485.349764026	24.8984568152	4100.37425282	0.590720676186	0.499769715338	0.10731639783	0.0179510197106	0.151362454413
FBgn0029523	0	mle	1	21.5783783784	20.3874689106	17.048795589	173.994579651	0.655359404498	0.578772605497	0.11007306048	0.00828226160621	0.101623342569
FBgn0003575	0	mle	1	24.6419753086	136.47260489	20.8010420491	1558.01950582	0.713645422552	0.650011072008	0.0803436071488	0.00359806151551	0.0670849504754
FBgn0025620	1	burg	1	27.5310344828	242.018862238	2.32737019133	1646.78873008	0.600082617866	0.511212088502	0.162295992604	0.0161758184462	0.142115894919
FBgn0025633	0	mle	1	22.0552486188	150.032942421	20.848303012	1762.06102296	0.497535947704	0.385877269415	0.0877119751592	0.0451827317094	0.259990912014
FBgn0040397	0	mle	1	23.7619047619	153.134727527	22.0456434811	1211.32379036	0.70388502812	0.638081701035	0.110662621557	0.00418380706015	0.0736614251766
FBgn0040348	1	default	1	24	108.273115897	9.49300416584	1020.05269415	0.694863702471	0.627055636353	0.0902871256795	0.00478875286955	0.0783522586754
FBgn0040364	0	burg	1	21.8142076503	85.0779590324	6.09402336331	829.973554869	0.545624480626	0.444652142987	0.0970891276842	0.028732086207	0.198697416383
