probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0024989	0	burg	1	23.4823529412	43.2860099344	1.41849563805	115.575127412	0.640682196148	0.560833795292	0.3438038068	0.00999204347007	0.0722040808332
FBgn0029521	1	default	1	24	7.88346855897	8.16747513523	34.0123414898	0.606299402073	0.518810380311	0.22347743045	0.01507465337	0.0877187302418
FBgn0023535	0	default	1	24	95.9756061066	3.81131387378	127.585014982	0.636203165452	0.555359424441	0.754718101643	0.010564893451	0.073496222895
FBgn0023537	1	yule-walker	1	23.4823529412	1213.54808296	3.84184673191	4887.2350896	0.576991714831	0.482989873682	0.234194972639	0.020824276978	0.102917917903
FBgn0029523	0	mle	1	20.9005235602	38.1915145621	18.2975949392	159.608621843	0.739475746291	0.681581467689	0.197240707752	0.00235134698592	0.0405451316875
FBgn0040370	0	mle	1	25.5897435897	139.258082316	9.68184418566	957.220964736	0.549727524327	0.449666974178	0.136697841136	0.0275828603536	0.11773112142
FBgn0025640	0	mle	1	21.4623655914	110.31357262	6.95792128619	791.198944382	0.574047318249	0.479391166748	0.129036877549	0.0214845422912	0.10440332119
FBgn0025635	0	default	1	24	23.2914660514	17.1325678016	355.450168625	0.577910955053	0.484113389509	0.0764938672373	0.0206214102376	0.102791230531
FBgn0001341	0	burg	1	25.4267515924	25.0918573887	12.613016425	283.215386374	0.669877243706	0.596516631197	0.0985758305412	0.00682400884824	0.0611415872296
FBgn0003575	1	default	1	24	158.69546824	20.3525895866	1502.59720772	0.546544370658	0.445776453027	0.109957729977	0.0284712536063	0.119447072729
FBgn0025638	0	mle	1	27.9160839161	140.366709356	25.6661093214	1825.4009645	0.830291991266	0.792579100437	0.0599585004009	0.000341712227665	0.0212710882857
FBgn0027343	0	burg	1	21.0105263158	29.6298444269	5.68094402384	181.109264253	0.496782001829	0.384955780014	0.165553391813	0.0454886183429	0.154220173982
FBgn0025620	1	mle	1	23.9041916168	459.260317187	4.50687848196	908.500337303	0.744213825799	0.687372453755	0.470818441799	0.00216494465257	0.0395960827014
FBgn0002579	0	burg	1	27.5310344828	2343.02939726	25.4912670002	18252.6846372	0.71193415948	0.647919528253	0.108731831022	0.00369583801139	0.0487463996406
FBgn0025633	0	mle	1	20.7916666667	221.183643598	19.4703075962	1495.10868413	0.754926748231	0.700466025616	0.11971744247	0.00178579502919	0.0379253764735
FBgn0040340	1	default	1	24	298.579134735	4.26877180926	1585.96026312	0.5790122243	0.485459385255	0.200313296182	0.0203803990831	0.102415247858
FBgn0040347	1	burg	1	20.2639593909	7.99802288625	15.410030296	70.3534089968	0.501410927882	0.3906133563	0.110940746717	0.0436357454962	0.150765481529
FBgn0040398	1	burg	1	22.5536723164	1597.75199702	5.73349310539	6147.06268187	0.605219158454	0.517490082554	0.229692982543	0.0152616787685	0.0882287552725
FBgn0040349	0	burg	1	24.3414634146	285.850136978	7.56209775953	957.290467955	0.530547106366	0.426224241114	0.289455816693	0.0332785267324	0.129747071101
FBgn0040348	1	mle	1	20.3673469388	107.837323077	18.4193905273	996.891290514	0.54429188976	0.443023420817	0.106469084821	0.0291132312514	0.121009591588
FBgn0040364	0	burg	1	26.7919463087	77.8853301148	24.350943556	805.503547873	0.830259417387	0.792539287917	0.0726487567005	0.000342007475047	0.0212710882857
FBgn0040360	0	burg	1	21.5783783784	15.4343506193	6.00082024602	20.1197066232	0.708067980126	0.643194197932	0.681715081442	0.00392435055116	0.0496364849314
FBgn0023169	0	burg	1	22.9425287356	311.098100286	2.81883783763	4181.92875873	0.689697472033	0.620741354707	0.0674636084105	0.00516456694947	0.0540547829578
FBgn0027794	0	mle	1	21.1216931217	115.939070334	19.9206051008	877.838139936	0.585099058564	0.492898849356	0.133144720101	0.0190875369693	0.0987151344991
FBgn0025641	1	mle	1	27.7222222222	240.909630312	7.50375607294	3209.11046035	0.516071503225	0.408531837275	0.0720477215696	0.038151831024	0.140022581896
FBgn0026872	0	burg	1	24.1939393939	194.80725792	23.3880115939	950.377900402	0.553825158168	0.454675193317	0.196665170269	0.0264711526591	0.115772009209
FBgn0025381	0	burg	1	21.4623655914	128.926616569	6.62308039084	1922.9352209	0.578716953422	0.485098498627	0.0638617184853	0.0204448025681	0.102631194443
FBgn0024897	0	yule-walker	1	24.95	329.453247691	21.058575866	284.180101231	0.705750324565	0.640361507801	1.00872539737	0.004066511138	0.0499346713844
