probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
FBgn0024989	0	mle	1	23.4823529412	52.0566104815	0.551446068889	113.533251228	0.768553070969	0.717120420073	0.386076595309	0.00138048407834	0.0315716378449
FBgn0029525	0	mle	1	25.5897435897	31.5569306266	9.51368352432	453.699372835	0.712673843532	0.648823586539	0.0559561244467	0.00365332438115	0.0546804382847
FBgn0015799	0	burg	1	21.5783783784	134.699742008	10.7056262348	1428.97699656	0.542498048837	0.440830948578	0.0993146424457	0.0296324989492	0.167570359063
FBgn0025620	0	default	1	24	270.023837972	5.62800704419	1716.54724903	0.544766759073	0.443603816645	0.162700209519	0.0289769618758	0.166171581769
FBgn0025633	0	mle	1	24.95	258.199539849	21.0130307761	1764.31606494	0.740958822819	0.683394116778	0.119689784886	0.00229170980337	0.0418360819838
FBgn0040397	0	yule-walker	1	25.4267515924	221.617396321	20.9853786511	1291.39934757	0.702525488776	0.636420041838	0.142455773145	0.00427094440521	0.0585223254837
FBgn0040349	0	yule-walker	1	25.4267515924	178.217177921	9.21122965134	477.90580246	0.513736061776	0.405677408837	0.359137046252	0.0389874009038	0.193826105345
FBgn0040346	0	burg	1	20.1616161616	44.0753009699	19.9171779906	474.321236636	0.669560283948	0.596129235936	0.0879495678268	0.00685354204384	0.07489050404
FBgn0040360	1	burg	1	26.7919463087	9.50817012065	4.32628799226	35.9112426204	0.655858113937	0.579382139256	0.237423490637	0.00822846649943	0.081333593531
FBgn0052813	0	burg	1	22.0552486188	57.9664064003	8.43876074648	845.621096659	0.548116867433	0.447698393529	0.0658218234117	0.0280296444132	0.16420057137
FBgn0024366	0	burg	1	23.9041916168	8.21989950616	22.3045586916	43.0315391187	0.591439249732	0.500647971895	0.177936075463	0.017809629742	0.127778384745
FBgn0025641	0	mle	1	22.6818181818	599.700867694	10.7448799929	3284.32236812	0.932798750866	0.917865139947	0.138619769875	5.28686299328e-06	0.00248642659998
FBgn0026872	0	burg	1	24.6419753086	132.418522301	19.7696968623	979.81077699	0.587011889145	0.495236753399	0.126117946866	0.0186947203034	0.131178044737
FBgn0025381	0	mle	1	26.091503268	124.740671099	8.945276489	1709.81783287	0.57217891521	0.477107563035	0.0648435785938	0.0219118895762	0.142189754987
FBgn0024897	0	yule-walker	1	24.1939393939	119.721271046	22.4106815006	133.545809755	0.886318069674	0.86105541849	0.677897775133	5.63133646937e-05	0.00716485302432
FBgn0025391	0	burg	1	25.9220779221	38.479529277	6.90659999779	530.383913859	0.490419290232	0.377179132506	0.0717232495655	0.0481347152697	0.214751593435
FBgn0023530	0	burg	1	20.7916666667	55.5163546094	16.7478453343	303.311817905	0.573643271932	0.478897332362	0.172219567227	0.021576402899	0.141353479457
FBgn0023519	1	burg	1	25.9220779221	36.7551314092	19.320377116	459.314339504	0.562477464426	0.465250234299	0.0749425547981	0.0242382869459	0.150138930949
FBgn0023508	0	mle	1	21.8142076503	260.592446528	9.20630295525	1776.78524657	0.783544062425	0.735442742964	0.12197328713	0.00102132218396	0.0267273876447
FBgn0025628	0	yule-walker	1	25.2658227848	454.774956348	8.15002068817	2488.48334268	0.576384786032	0.482248071816	0.168185697076	0.0209590682325	0.139406913563
FBgn0025625	0	mle	1	22.4269662921	386.752716696	10.6257036445	2476.81155344	0.952557342652	0.942014529908	0.117179565245	1.10346999849e-06	0.00129722210602
FBgn0026878	0	default	1	24	36.4726070009	15.3884909668	173.953948676	0.593605121416	0.503295148397	0.20593537003	0.017388696137	0.126029788974
FBgn0000667	0	burg	1	21.4623655914	230.312149946	7.77054162186	3406.91935521	0.548732613596	0.448450972173	0.0631065038814	0.0278581815732	0.163496117101
FBgn0023512	1	mle	2	21.0105263158,27.9160839161	78.0890611608,39.7880588768	15.4933363648,1.06938149758	520.576532861	0.755826148314	0.616298233065	0.102876576698	0.0262235339408	0.157374065216
FBgn0023511	0	burg	1	20.9005235602	225.164562595	13.9597656034	1629.93449698	0.749481535596	0.693810765729	0.112591515957	0.00197141852992	0.0384421249195
FBgn0052801	0	burg	1	24.1939393939	30.3477928542	6.27794210979	51.4144061886	0.582213964159	0.489372622861	0.548490999319	0.0196921275334	0.135551287922
FBgn0026089	1	burg	1	21.1216931217	46.3565414598	0.404124673347	560.921215239	0.590891345029	0.499978310591	0.0911289443256	0.0179173593203	0.127838383764
FBgn0023516	1	yule-walker	1	22.9425287356	143.761917756	21.0199729535	1022.93008705	0.644642149364	0.565673738111	0.128404791459	0.00950597384042	0.0892629582779
FBgn0040395	0	burg	1	24.7950310559	691.451843077	19.7965367494	5551.01846927	0.726642875201	0.665896847468	0.106358861391	0.00291935419998	0.0483480509683
FBgn0004654	0	burg	1	27.3424657534	508.564193301	4.74442794319	2994.39088045	0.64230819745	0.562821130217	0.164571359197	0.00979017472402	0.0904644399512
FBgn0011576	1	burg	1	21.9340659341	78.4717065226	11.9834503763	954.076378164	0.672121343955	0.59925942039	0.0730480480604	0.00661773173751	0.0737838964905
FBgn0040900	0	burg	1	24.3414634146	15.3183082594	0.810839464467	32.0867095545	0.67811965313	0.606590687158	0.426490689134	0.00609010910311	0.0713093704029
FBgn0040389	0	default	1	24	45.5839192886	18.43477583	332.937782433	0.679687043986	0.608506387095	0.11746283134	0.00595779113794	0.070623420197
FBgn0023526	0	yule-walker	1	23.7619047619	90.9422623769	21.8934928731	941.286907478	0.516780825532	0.409398786761	0.0965373964222	0.0379008295604	0.191564192891
FBgn0023524	1	burg	1	21.9340659341	93.5060081096	11.3001467071	1234.55066704	0.699060473877	0.632185023628	0.0698052796501	0.00449942013502	0.0596889834532
FBgn0004397	0	mle	1	23.3450292398	1767.7303809	8.59938921683	4443.68188121	0.907446493754	0.886879047921	0.302262123321	2.23237906904e-05	0.0046502624826
FBgn0023550	1	yule-walker	1	22.5536723164	52.8746457682	6.43908534899	69.5385837568	0.564537011446	0.467767458434	0.697648502846	0.0237290646468	0.148936422796
FBgn0040334	1	mle	2	20.9005235602,25.5897435897	53.0391512675,23.8246590444	15.1874219623,3.08214158242	362.714094528	0.719178638154	0.558709288527	0.0987519405203	0.0412755934723	0.199268483042
FBgn0003714	0	burg	1	24.490797546	74.3121113915	18.9424253937	389.268532552	0.685906220133	0.616107602384	0.16297724418	0.00545465154135	0.0663845647561
FBgn0001150	1	mle	1	22.4269662921	58.2376479924	8.53791204234	203.105193458	0.490360498516	0.377107275964	0.296728995226	0.0481597107661	0.214751593435
FBgn0003068	0	mle	1	23.6213017751	3241.61198789	11.0911972778	3515.9383581	0.95140499516	0.940606105196	0.6767818536	1.22931260205e-06	0.00129722210602
