baseMean_INC1	log2FoldChange_INC1	lfcSE_INC1	stat_INC1	pvalue_INC1	padj_INC1	baseMean_WAKED2	log2FoldChange_WAKED2	lfcSE_WAKED2	stat_WAKED2	pvalue_WAKED2	padj_WAKED2	baseMean_WT2U_old	log2FoldChange_WT2U_old	lfcSE_WT2U_old	stat_WT2U_old	pvalue_WT2U_old	padj_WT2U_old
FBgn0040364	813.197477717916	-0.422725398502372	0.0484801133107339	-8.71956292248963	2.79277753832636e-18	1.03278854293783e-16	813.197477717916	-0.160259945905477	0.0477367771357197	-3.35715889344278	0.000787478436679151	0.00575321774714943	813.197477717916	-0.200962806859461	0.047726202722528	-4.21074368786104	2.54531399129443e-05	0.000186099369531435
FBgn0024361	31.6660359043246	0.844319756192844	0.316812340364709	2.66504693352815	0.00769775787371043	0.022971461460592	31.6660359043246	1.84765656169677	0.309509450712232	5.96962889968305	2.37793830618515e-09	6.17232875247733e-08	31.6660359043246	1.40620687848828	0.31130621800377	4.51711786390096	6.26870165414804e-06	5.40915535526396e-05
FBgn0023510	2660.37945499575	-0.265446738896162	0.0364017204566386	-7.29214816130351	3.05051415743853e-13	6.95662490474911e-12	2660.37945499575	-0.0993530103010387	0.0361581159446689	-2.74773747761288	0.00600080349076543	0.0311859445656817	2660.37945499575	-0.0911114772723563	0.0361319035396299	-2.52163512980777	0.0116810800596351	0.0368637182244433
FBgn0025631	2560.94833803324	0.607972195557501	0.0314091449836277	19.3565344066008	1.79566924827718e-83	5.37466251874965e-81	2560.94833803324	-0.131712910454901	0.0318514272264223	-4.1352278979084	3.54602553770304e-05	0.000376957076582905	2560.94833803324	0.253058683101937	0.0315050128325979	8.03233074198593	9.56381285108388e-16	4.48954007639472e-14
FBgn0026088	828.956897108194	0.21478681199805	0.0295581480765168	7.26658556016549	3.68687728722958e-13	8.34820582909809e-12	828.956897108194	0.118063451840212	0.0294287698235502	4.01183782224335	6.02478847595976e-05	0.000599848482564891	828.956897108194	0.12213427755842	0.0292977318454062	4.16872808457937	3.06304145815113e-05	0.00022025383698327
FBgn0023525	543.577478873599	0.218714964837657	0.0491283186938129	4.45191227081829	8.51089392643182e-06	5.82682930860357e-05	543.577478873599	0.128163415663756	0.0489273387066474	2.61946427195199	0.0088067997414862	0.0426880202044306	543.577478873599	-0.134648720868584	0.0494236128462767	-2.72438037436447	0.00644222634817504	0.0226020673856486
FBgn0003996	105.451377094145	4.50738290569582	0.216648165449917	20.8050822693802	3.89291834058266e-96	1.69483508482276e-93	105.451377094145	4.90429295450284	0.215819000304218	22.7241018983026	2.58869097891663e-114	1.23972410980318e-110	105.451377094145	-1.0605027449913	0.298083260480238	-3.55774001962653	0.000374059257311508	0.00198873088955805
FBgn0040384	1623.61803183487	0.173598671575426	0.0374233541828138	4.63877905565048	3.50473480591675e-06	2.57623560791025e-05	1623.61803183487	0.10739265599424	0.0373182104417588	2.87775471339505	0.00400516426738915	0.02253905014868	1623.61803183487	-0.207804989581323	0.0375890688454546	-5.52833565619042	3.23283071915555e-08	4.5602433914686e-07
FBgn0029688	5124.20073165572	-0.34025317836152	0.0410171383581726	-8.29539046313613	1.08229114119101e-16	3.49029782839309e-15	5124.20073165572	-0.429064240118591	0.0409816235637008	-10.4696740345503	1.19052244378956e-25	2.8507059916541e-23	5124.20073165572	-0.159822388141888	0.0408921180097508	-3.90839105237292	9.29128294689561e-05	0.000589740941453718
FBgn0019661	16973.8386205264	-0.259084800921809	0.0987486936353101	-2.62367826230328	0.0086985911958921	0.0254009470958093	16973.8386205264	-0.399592174924921	0.0987464445395507	-4.04664873543749	5.19561166772745e-05	0.000527156446541245	16973.8386205264	0.365201206844031	0.0987188355713306	3.69940756219871	0.000216103330742317	0.0012335147210071
FBgn0029766	5427.71550471993	-0.635150162697285	0.114738193035525	-5.53564724956605	3.10081092926878e-08	3.31838738330015e-07	5427.71550471993	-0.306261784121981	0.114649787942059	-2.67128085990667	0.00755623930779779	0.037655390265394	5427.71550471993	0.931872490141395	0.114529677567223	8.13651544242264	4.0681697977847e-16	1.99820155503497e-14
FBgn0004687	4003.65821370707	-0.19851815748407	0.0281784436231747	-7.04503627449472	1.85413197796782e-12	3.827343983831e-11	4003.65821370707	-0.0787520260063914	0.0280009034341219	-2.81248161123345	0.0049160834338503	0.0266174376084896	4003.65821370707	0.105402494904959	0.0278838785306928	3.78005142967965	0.000156795967716968	0.000928751873094073
FBgn0029840	1075.83166114971	-0.403002643753944	0.0568075335509882	-7.09417604607361	1.30124402073994e-12	2.73318316461559e-11	1075.83166114971	-0.177046850342424	0.0563462269181361	-3.14212432714707	0.0016772679847242	0.0110487432996481	1075.83166114971	-0.213488540746453	0.0563455961232872	-3.78891262911353	0.000151308112388096	0.000901261878391285
FBgn0020304	5375.2521008215	-0.154369930486308	0.026969945815514	-5.7237760706775	1.04182051991436e-08	1.21098991987133e-07	5375.2521008215	-0.128822261260737	0.0268805388429723	-4.79239876898585	1.64798930913933e-06	2.34538508215995e-05	5375.2521008215	0.085365495032381	0.0267764129999546	3.18808553754103	0.00143218162897048	0.00631557810418015
FBgn0031213	3146.60018852	0.0812741409594722	0.0322609943587447	2.51926955678109	0.0117598589800894	0.0327525237892691	3146.60018852	-0.0873565171306795	0.0322431108919626	-2.70930796421555	0.00674237238270797	0.0344051372837384	3146.60018852	0.100231181874512	0.032111037218865	3.12139346952104	0.00179997359073799	0.00768620020155526
FBgn0031216	2024.54156327298	-0.158768158115677	0.0466008579261946	-3.40697929568443	0.000656861095128307	0.00277154870887177	2024.54156327298	-0.127609320576743	0.0464518044872958	-2.74713376552774	0.00601186094623436	0.0312264664550069	2024.54156327298	-0.174305428586461	0.0464542451429084	-3.75219590911962	0.000175292393858313	0.00102750951552933
FBgn0031245	4022.43313088478	-0.127626119023163	0.0335419480934059	-3.80497038120018	0.000141821160209791	0.000716058551654918	4022.43313088478	-0.096740906568206	0.0334277488437412	-2.89402995757876	0.0038033187354745	0.0215806794125443	4022.43313088478	-0.162984734257733	0.0334363820672788	-4.87447278027224	1.09099426329083e-06	1.09764107707979e-05
FBgn0028500	1829.39633110211	-0.23144141968589	0.0275451233641005	-8.40226477212034	4.37949005347676e-17	1.47181599060352e-15	1829.39633110211	-0.102344502100978	0.0271426005075384	-3.77062257069118	0.000162840797819656	0.00145629240104264	1829.39633110211	-0.108181607420481	0.0271027245721034	-3.99153993291993	6.56456315863953e-05	0.000433026073921828
FBgn0052451	6952.61746828396	-0.23353725363601	0.0403818125606786	-5.78322860780684	7.32803689924724e-09	8.72984296280971e-08	6952.61746828396	-0.144439738761472	0.0403211556053552	-3.58223212090401	0.000340670880134851	0.00278884247002701	6952.61746828396	-0.256582825962931	0.0403345598117799	-6.36136422859869	1.99969624139929e-10	4.07512565960051e-09
FBgn0037410	394.996434496109	-1.08449917126686	0.136470742074845	-7.94675221060998	1.91464847513872e-15	5.54033326129265e-14	394.996434496109	-0.902736336090457	0.135667324554104	-6.65404391998937	2.85147521502085e-11	1.27593804938495e-09	394.996434496109	0.681052454863368	0.133820003646434	5.08931726427671	3.59354956939006e-07	4.02091329154416e-06
FBgn0037396	295.165571452635	0.990479279905288	0.136785016574384	7.24113872053131	4.44933017304085e-13	9.95693560686572e-12	295.165571452635	0.465283780293754	0.13728560012772	3.38916667050942	0.000701053849195907	0.0052132715586944	295.165571452635	1.02310467468455	0.136473339418064	7.49673657175215	6.54262803447768e-14	2.19878215137639e-12
FBgn0037332	1177.84782009192	-0.210208591035413	0.0333769761064616	-6.29801184999253	3.01487469661929e-10	4.42890641782509e-09	1177.84782009192	-0.0840823293162377	0.0328970456054455	-2.55592342013592	0.0105906423631036	0.0491459169349838	1177.84782009192	-0.168606802958319	0.0329569271438725	-5.11597462415932	3.12125024547166e-07	3.54210128567862e-06
FBgn0040466	289.787067655918	-0.135871045130526	0.053732984728911	-2.52863387016394	0.0114507408697512	0.0319939311699175	289.787067655918	-0.453478356972378	0.0544025837178119	-8.3356033111329	7.71040189868113e-17	8.79169397447237e-15	289.787067655918	-0.134425925504031	0.0529361148926843	-2.53939915644637	0.0111043052556109	0.0354405317355018
FBgn0037238	2039.28027281064	-0.505773579856886	0.0756970261981412	-6.68155151211614	2.36425642674085e-11	4.05821649736987e-10	2039.28027281064	-0.226008724974781	0.0754878198264742	-2.99397605460474	0.00275367554878583	0.0166612156704174	2039.28027281064	-0.35704300441418	0.0755245704210786	-4.72750791462338	2.27292206965563e-06	2.14281999528706e-05
FBgn0037213	2708.89789193539	-0.215754179104353	0.0304727239196524	-7.08023935350293	1.43905689180667e-12	3.0094512903328e-11	2708.89789193539	-0.156632197503364	0.0302799285600786	-5.17280604518563	2.30604352840391e-07	4.01586998455502e-06	2708.89789193539	-0.0989190419243376	0.0302037705240854	-3.27505606776666	0.0010564100482489	0.00487863811095851
FBgn0037217	272.613908612749	-1.20481292566744	0.0905989137568649	-13.2983153517792	2.3674242223958e-40	2.33764837135124e-38	272.613908612749	-0.427376823513584	0.0864338980164509	-4.94455107684998	7.63195302750857e-07	1.16958153755963e-05	272.613908612749	0.390824561918109	0.0843638432340595	4.63260736988716	3.61088955877375e-06	3.26582626949339e-05
FBgn0031775	1021.63976486735	-2.30018281354251	0.133957503411246	-17.1709889701439	4.37895038525006e-66	9.11773625867935e-64	1021.63976486735	-1.35360279463826	0.132106332486026	-10.2463127176848	1.22944475360902e-24	2.67627769319709e-22	1021.63976486735	1.10021386823561	0.130814475674003	8.41049021957938	4.08300612479211e-17	2.32779956328922e-15
FBgn0001089	590.720829651926	0.277182411461998	0.0437565082112761	6.33465563850836	2.37871946164717e-10	3.55434867451741e-09	590.720829651926	-0.252080672002101	0.0445732984675839	-5.65541884196494	1.55466678969527e-08	3.50367023804736e-07	590.720829651926	-0.159944005935737	0.0442369070089796	-3.61562362177061	0.000299625446003633	0.00164083048703419
