baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FBgn0010019	8062.08818697342	4.02737883709262	1.009670914697	3.98880345909661	6.64074124585522e-05	0.00113783577196424
FBgn0040347	80.5200357085677	0.280920739488302	0.0954759714776867	2.94231873360885	0.00325764439847437	0.0319362518409289
FBgn0040364	813.197477717916	-0.159205609523342	0.0560721112226977	-2.8393011436833	0.00452124656942383	0.0415590207696175
FBgn0024361	31.6660359043246	1.90744134630571	0.326394627292855	5.84397286844515	5.09703331795137e-09	2.17943683568474e-07
FBgn0027795	118.134874801999	1.12494408962062	0.199939793905615	5.62641417021601	1.83994270599674e-08	6.91096911295561e-07
FBgn0011576	949.940851670108	-0.169686145255633	0.0608363717923182	-2.78922197784746	0.00528348381512969	0.0474346998342436
FBgn0023550	83.7241766900381	1.24142757251576	0.35043678417057	3.54251502294211	0.000396330847404981	0.00530175538609625
FBgn0005670	219.519489940289	0.526446638783661	0.151525719924633	3.47430547794467	0.000512177575498079	0.00674778104280688
FBgn0040376	152.555611219624	0.49271446447931	0.117561134407881	4.19113397434415	2.77563691352516e-05	0.000524359967608362
FBgn0011606	141.075776814473	1.18907394752396	0.221326325220697	5.37249216214234	7.76558061101153e-08	2.47929103640895e-06
FBgn0003996	105.451377094145	4.90954391969699	0.201228855312768	24.3978126897663	1.80409190121211e-131	8.6397961149048e-128
FBgn0029665	240.906158946675	0.218492678833624	0.0726906484389355	3.00578800060054	0.00264893610997322	0.0269651554954074
FBgn0029688	5124.20073165572	-0.429384906919317	0.0415508632679636	-10.333958747143	4.94755959669583e-25	2.63265143428626e-22
FBgn0019661	16973.8386205264	-0.395978586377998	0.110217254127386	-3.59270959445547	0.00032725723854192	0.00448422007261017
FBgn0029722	59.6782682385536	2.62628714316096	0.386475719737405	6.79547772094305	1.07954199897311e-11	1.01957033908739e-09
FBgn0029728	50.7497177592857	2.41044377401321	0.344909501669088	6.98862676252344	2.77589802071436e-12	3.48116920892741e-10
FBgn0000394	1352.92286543474	-0.149383836442549	0.0379410276448594	-3.93726384643114	8.24159731753717e-05	0.00136335093449691
FBgn0029791	1084.48041818767	-0.439140122521942	0.09574550866692	-4.58653495747383	4.50662973714225e-06	9.90011459228176e-05
FBgn0029821	57.5678020086005	0.839142392975948	0.233753413924542	3.58986155062887	0.0003308536419671	0.0045141256164685
FBgn0029843	1295.80724194066	-0.338944713680154	0.0669354615443923	-5.0637540379902	4.11079961211192e-07	1.12174469187487e-05
FBgn0029840	1075.83166114971	-0.174714275777651	0.0608713082669026	-2.87022376801203	0.00410181411095416	0.038706576901201
FBgn0029838	193.193736853736	1.27136257637499	0.207084324524016	6.13934724077846	8.28612621886029e-10	4.31328896327412e-08
FBgn0003302	333.24981137562	0.31227811678039	0.0830719277694904	3.75912928910119	0.00017050571499847	0.00255972372767296
FBgn0029851	145.981179063553	-0.536050723334529	0.138992536584229	-3.85668710355311	0.000114934130406843	0.00182560381598133
FBgn0029866	786.674334077286	-0.258185157630827	0.0904513468879707	-2.85440921018683	0.00431169536945999	0.0400644698501394
FBgn0016974	31.0099008814524	2.01015333032572	0.391314204869656	5.13692911044536	2.79264237552745e-07	7.84396735272783e-06
FBgn0029868	2757.54924647829	0.170686788145641	0.0486152562148076	3.51097168739495	0.000446471947384797	0.00592286469813239
FBgn0031277	75.4767772283257	3.83169099636532	0.774466652795883	4.94752224970905	7.51641145869125e-07	1.94049026823032e-05
FBgn0031292	72.1683877667419	1.71791348373884	0.405295130164974	4.23867289754892	2.24844984081863e-05	0.000433312929081708
FBgn0031265	283.578694993544	0.325591409176664	0.0826843754886225	3.93776221024329	8.22450370400535e-05	0.00136287710167756
FBgn0031260	1606.01040457618	0.233375298132702	0.0754950082479527	3.09126793345348	0.00199303704834209	0.0210931589491939
FBgn0015924	4845.44354333928	-0.1993736294912	0.0635703524560563	-3.13626748615275	0.00171113059589687	0.0185188800536726
FBgn0031251	223.785367175663	0.573383848106971	0.0941369075655745	6.09095691514574	1.12237757547177e-09	5.5700167968231e-08
FBgn0031249	72.4008805860967	3.95978413212731	0.811649674167797	4.8786862832014	1.06794770498819e-06	2.67070577503314e-05
FBgn0031240	186.557554400006	2.09723056630236	0.300218849835387	6.9856725100782	2.83494673518833e-12	3.48116920892741e-10
FBgn0031247	348.340426277673	0.429758598033925	0.092773612518517	4.63233657035989	3.6156172856315e-06	8.1101598036952e-05
FBgn0036970	472.935301991649	4.02100018104629	0.566249663190401	7.10110829627855	1.23760346729635e-12	1.79602515299461e-10
FBgn0037051	1603.69576598809	0.109364913922448	0.034539313208724	3.16638936221882	0.00154344046949466	0.0169725290663833
FBgn0052436	305.316213087987	4.26708048363126	0.769147777433552	5.54780317752384	2.89281259159299e-08	1.02241177130176e-06
FBgn0053288	63.8855735146069	0.457953180506718	0.150395717168935	3.0449881760417	0.00232689457703465	0.0240358265412083
