FLYBASE	FLYBASECG	SYMBOL	GENENAME	baseMean_INC1	log2FoldChange_INC1	lfcSE_INC1	stat_INC1	pvalue_INC1	padj_INC1	baseMean_WAKED2	log2FoldChange_WAKED2	lfcSE_WAKED2	stat_WAKED2	pvalue_WAKED2	padj_WAKED2	baseMean_WT2U_old	log2FoldChange_WT2U_old	lfcSE_WT2U_old	stat_WT2U_old	pvalue_WT2U_old	padj_WT2U_old	logFC_INC1	logCPM_INC1	LR_INC1	PValue_INC1	FDR_INC1	logFC_WAKED2	logCPM_WAKED2	LR_WAKED2	PValue_WAKED2	FDR_WAKED2	logFC_WT2U_old	logCPM_WT2U_old	LR_WT2U_old	PValue_WT2U_old	FDR_WT2U_old
FBgn0040364	CG11378	CG11378	uncharacterized protein	813.197477717916	-0.422725398502372	0.0484801133107339	-8.71956292248963	2.79277753832636e-18	1.03278854293783e-16	813.197477717916	-0.160259945905477	0.0477367771357197	-3.35715889344278	0.000787478436679151	0.00575321774714943	813.197477717916	-0.200962806859461	0.047726202722528	-4.21074368786104	2.54531399129443e-05	0.000186099369531435	-0.421369832941347	5.1540927839106	69.9416533236124	6.10848338782639e-17	2.22460280945251e-15	-0.163542858208285	5.1540927839106	10.8470840387843	0.000989514521989737	0.00730167187335725	-0.195195772823943	5.1540927839106	15.4654874296915	8.40255720404739e-05	0.000568359413138177
FBgn0024361	CG11415	Tsp2A	Tetraspanin 2A	31.6660359043246	0.844319756192844	0.316812340364709	2.66504693352815	0.00769775787371043	0.022971461460592	31.6660359043246	1.84765656169677	0.309509450712232	5.96962889968305	2.37793830618515e-09	6.17232875247733e-08	31.6660359043246	1.40620687848828	0.31130621800377	4.51711786390096	6.26870165414804e-06	5.40915535526396e-05	0.838677756296171	0.564883352485822	6.9976050131103	0.00816188425584559	0.0249281018502835	1.830293003881	0.564883352485822	33.5938346140336	6.79076306119911e-09	1.80171547368878e-07	1.40166530892321	0.564883352485822	19.7994263079735	8.60084877274666e-06	7.61357944042214e-05
FBgn0025631	CG4322	moody	moody	2560.94833803324	0.607972195557501	0.0314091449836277	19.3565344066008	1.79566924827718e-83	5.37466251874965e-81	2560.94833803324	-0.131712910454901	0.0318514272264223	-4.1352278979084	3.54602553770304e-05	0.000376957076582905	2560.94833803324	0.253058683101937	0.0315050128325979	8.03233074198593	9.56381285108388e-16	4.48954007639472e-14	0.609026256184857	6.80602838047708	328.364978793249	2.1822263728759e-73	5.97181834268725e-71	-0.135003695122036	6.80602838047708	15.8156878863878	6.98211956547842e-05	0.000713711218763632	0.258551201307225	6.80602838047708	59.1049893529649	1.49479748454451e-14	6.0156177760367e-13
FBgn0026088	CG14818	CG14818	uncharacterized protein	828.956897108194	0.21478681199805	0.0295581480765168	7.26658556016549	3.68687728722958e-13	8.34820582909809e-12	828.956897108194	0.118063451840212	0.0294287698235502	4.01183782224335	6.02478847595976e-05	0.000599848482564891	828.956897108194	0.12213427755842	0.0292977318454062	4.16872808457937	3.06304145815113e-05	0.00022025383698327	0.215655644164038	5.18109596535278	46.9937005747736	7.12152329834744e-12	1.50573841394198e-10	0.113343956062	5.18109596535278	13.098823498037	0.000295481291549061	0.00257987220643292	0.127773479614762	5.18109596535278	16.7705621691341	4.21826523743214e-05	0.000310311401260561
FBgn0003996	CG2759	w	white	105.451377094145	4.50738290569582	0.216648165449917	20.8050822693802	3.89291834058266e-96	1.69483508482276e-93	105.451377094145	4.90429295450284	0.215819000304218	22.7241018983026	2.58869097891663e-114	1.23972410980318e-110	105.451377094145	-1.0605027449913	0.298083260480238	-3.55774001962653	0.000374059257311508	0.00198873088955805	4.486277289123	2.22660875267139	600.432875202452	1.34786156076775e-132	1.43442422544817e-129	4.87547760637774	2.22660875267139	711.324612389698	1.03067259816309e-156	4.93589107260302e-153	-1.0333898118576	2.22660875267139	14.1466811752461	0.000169095140616811	0.00105100146452162
FBgn0040384	CG32795	CG32795	uncharacterized protein	1623.61803183487	0.173598671575426	0.0374233541828138	4.63877905565048	3.50473480591675e-06	2.57623560791025e-05	1623.61803183487	0.10739265599424	0.0373182104417588	2.87775471339505	0.00400516426738915	0.02253905014868	1623.61803183487	-0.207804989581323	0.0375890688454546	-5.52833565619042	3.23283071915555e-08	4.5602433914686e-07	0.174643093458897	6.14843828191147	20.954123030123	4.70414313393071e-06	3.58442982790679e-05	0.103719944563751	6.14843828191147	7.43544002304513	0.00639517252776251	0.0341622768939818	-0.202232809899727	6.14843828191147	27.8682808314031	1.29861281414212e-07	1.71560186673838e-06
FBgn0029688	CG6450	lva	lava lamp	5124.20073165572	-0.34025317836152	0.0410171383581726	-8.29539046313613	1.08229114119101e-16	3.49029782839309e-15	5124.20073165572	-0.429064240118591	0.0409816235637008	-10.4696740345503	1.19052244378956e-25	2.8507059916541e-23	5124.20073165572	-0.159822388141888	0.0408921180097508	-3.90839105237292	9.29128294689561e-05	0.000589740941453718	-0.339168972143808	7.80643336402152	62.1491646440953	3.184020627451e-15	1.00648678447939e-13	-0.432609198907568	7.80643336402152	101.163096646787	8.4712972630728e-24	1.93185917108836e-21	-0.15441790249531	7.80643336402152	12.9767671160805	0.00031538005646382	0.00179911267469355
FBgn0019661	CR32777	lncRNA:roX1	long non-coding RNA on the X 1	16973.8386205264	-0.259084800921809	0.0987486936353101	-2.62367826230328	0.0086985911958921	0.0254009470958093	16973.8386205264	-0.399592174924921	0.0987464445395507	-4.04664873543749	5.19561166772745e-05	0.000527156446541245	16973.8386205264	0.365201206844031	0.0987188355713306	3.69940756219871	0.000216103330742317	0.0012335147210071	-0.2580305427419	9.53499013740822	6.4649956402377	0.0110019911671844	0.0319906106251647	-0.402779720673663	9.53499013740822	15.7221927888201	7.33584052922422e-05	0.000745888328969317	0.370970663133677	9.53499013740822	13.2297459558213	0.000275541154593913	0.00161414873315015
FBgn0029766	CG15784	CG15784	uncharacterized protein	5427.71550471993	-0.635150162697285	0.114738193035525	-5.53564724956605	3.10081092926878e-08	3.31838738330015e-07	5427.71550471993	-0.306261784121981	0.114649787942059	-2.67128085990667	0.00755623930779779	0.037655390265394	5427.71550471993	0.931872490141395	0.114529677567223	8.13651544242264	4.0681697977847e-16	1.99820155503497e-14	-0.634500423497146	7.891446616383	28.8079926067135	7.99206182575353e-08	8.52427262439502e-07	-0.309565394996839	7.891446616383	6.89868869374702	0.0086258996136824	0.0437136859787567	0.937126004473023	7.891446616383	63.0411366001873	2.02434272586435e-15	9.89242583077999e-14
FBgn0004687	CG3201	Mlc-c	Myosin light chain cytoplasmic	4003.65821370707	-0.19851815748407	0.0281784436231747	-7.04503627449472	1.85413197796782e-12	3.827343983831e-11	4003.65821370707	-0.0787520260063914	0.0280009034341219	-2.81248161123345	0.0049160834338503	0.0266174376084896	4003.65821370707	0.105402494904959	0.0278838785306928	3.78005142967965	0.000156795967716968	0.000928751873094073	-0.197125511332002	7.45056557329239	40.514218743654	1.95190437918201e-10	3.2400936124446e-09	-0.0823143024305529	7.45056557329239	7.14591990043452	0.00751347247769198	0.0389837699844712	0.110949461933919	7.45056557329239	13.0694892060811	0.000300144973415872	0.0017334471838321
