baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	logFC	logCPM	PValue	FDR
FBgn0010019	8062.08818697342	4.02737883709262	1.009670914697	3.98880345909661	6.64074124585522e-05	0.00113783577196424	4.0141981971419	8.4533528375294	0.000388348197908505	0.00548613427664847
FBgn0040347	80.5200357085677	0.280920739488302	0.0954759714776867	2.94231873360885	0.00325764439847437	0.0319362518409289	0.276766081824702	1.8455902048288	0.00506973990012302	0.048268358611708
FBgn0024361	31.6660359043246	1.90744134630571	0.326394627292855	5.84397286844515	5.09703331795137e-09	2.17943683568474e-07	1.88714874609807	0.561998809295209	1.13541624307327e-08	5.12972489441308e-07
FBgn0027795	118.134874801999	1.12494408962062	0.199939793905615	5.62641417021601	1.83994270599674e-08	6.91096911295561e-07	1.11840274754087	2.39555284349851	3.56400403782374e-08	1.38764352334454e-06
FBgn0023550	83.7241766900381	1.24142757251576	0.35043678417057	3.54251502294211	0.000396330847404981	0.00530175538609625	1.23356004567552	1.90949275156544	0.000592887080437066	0.00794219923975695
FBgn0005670	219.519489940289	0.526446638783661	0.151525719924633	3.47430547794467	0.000512177575498079	0.00674778104280688	0.521109470934055	3.27421847854734	0.000611693520472765	0.00814854038816153
FBgn0040376	152.555611219624	0.49271446447931	0.117561134407881	4.19113397434415	2.77563691352516e-05	0.000524359967608362	0.486760092439491	2.75303726304705	3.96741324628484e-05	0.000755464892105691
FBgn0011606	141.075776814473	1.18907394752396	0.221326325220697	5.37249216214234	7.76558061101153e-08	2.47929103640895e-06	1.17994288628437	2.64262678984201	1.47914573018463e-07	4.85180061770835e-06
FBgn0003996	105.451377094145	4.90954391969699	0.201228855312768	24.3978126897663	1.80409190121211e-131	8.6397961149048e-128	4.88507698749317	2.22727789458239	6.49442541349622e-144	3.11018033052334e-140
FBgn0029665	240.906158946675	0.218492678833624	0.0726906484389355	3.00578800060054	0.00264893610997322	0.0269651554954074	0.214298573253704	3.40671522915247	0.00394100656075046	0.039617132625101
FBgn0029688	5124.20073165572	-0.429384906919317	0.0415508632679636	-10.333958747143	4.94755959669583e-25	2.63265143428626e-22	-0.433008589174605	7.80642695798437	1.41825556406666e-20	6.46859609172879e-18
FBgn0019661	16973.8386205264	-0.395978586377998	0.110217254127386	-3.59270959445547	0.00032725723854192	0.00448422007261017	-0.398752582865894	9.53495662159461	0.000399639846349516	0.00561253731427517
FBgn0029722	59.6782682385536	2.62628714316096	0.386475719737405	6.79547772094305	1.07954199897311e-11	1.01957033908739e-09	2.60900386655699	1.43018952562741	2.08962438348938e-10	1.65408449132738e-08
FBgn0029728	50.7497177592857	2.41044377401321	0.344909501669088	6.98862676252344	2.77589802071436e-12	3.48116920892741e-10	2.39660190265936	1.20449721282736	3.10530541837717e-11	3.71782691215207e-09
FBgn0000394	1352.92286543474	-0.149383836442549	0.0379410276448594	-3.93726384643114	8.24159731753717e-05	0.00136335093449691	-0.152507993011832	5.88670414693185	0.000366596776760108	0.00520645078311763
FBgn0029791	1084.48041818767	-0.439140122521942	0.09574550866692	-4.58653495747383	4.50662973714225e-06	9.90011459228176e-05	-0.442382128586544	5.56859080375787	4.4276659429588e-06	0.00010471156642385
FBgn0029821	57.5678020086005	0.839142392975948	0.233753413924542	3.58986155062887	0.0003308536419671	0.0045141256164685	0.829487071140536	1.37769659141559	0.00041255311698291	0.00576851642987199
FBgn0029843	1295.80724194066	-0.338944713680154	0.0669354615443923	-5.0637540379902	4.11079961211192e-07	1.12174469187487e-05	-0.342279310118301	5.82505979539791	7.58527626953379e-07	2.07576503170271e-05
