baseMean_INC1	log2FoldChange_INC1	lfcSE_INC1	stat_INC1	pvalue_INC1	padj_INC1	logFC_INC1	logCPM_INC1	PValue_INC1	FDR_INC1	baseMean_WAKED2	log2FoldChange_WAKED2	lfcSE_WAKED2	stat_WAKED2	pvalue_WAKED2	padj_WAKED2	logFC_WAKED2	logCPM_WAKED2	PValue_WAKED2	FDR_WAKED2	FlybaseID	log2FC_fmn
FBgn0037396	295.165571452635	0.992304676271638	0.164132371059467	6.04575849277237	1.48708714238395e-09	4.99765636833457e-08	0.993311064764827	3.69754609786393	1.91668815056339e-09	7.25614193916844e-08	295.165571452635	0.481811655532188	0.164527552164834	2.92845574612014	0.00340650321385072	0.0330907583998603	0.478121258879669	3.69754609786393	0.00375655056220075	0.0382768524305944	FBgn0037396	-0.578021539
FBgn0031775	1021.63976486735	-2.29982856569942	0.171925210621181	-13.3769128878187	8.25034938947521e-41	2.32417195448216e-38	-2.29899289127346	5.48753251124327	3.2483441412218e-37	8.88932576703496e-35	1021.63976486735	-1.31844155272557	0.170458296702929	-7.73468688956406	1.03657901845137e-14	2.61272469440191e-12	-1.3217306514411	5.48753251124327	3.54658475662479e-14	9.18086183755465e-12	FBgn0031775	0.785050303
FBgn0015400	3212.05506312537	-0.500265947991793	0.0911569797775131	-5.48796097910212	4.0659985223495e-08	1.04970711178069e-06	-0.499053488847039	7.13176254662871	5.25861163967713e-08	1.50349200850231e-06	3212.05506312537	1.10110712430431	0.0907570963452905	12.1324631201849	7.10788283372974e-34	6.80793017814635e-31	1.0975100006085	7.13176254662871	8.38996293810951e-33	8.92878500235699e-30	FBgn0015400	-0.4892584
FBgn0028523	684.990725115636	0.278452471846033	0.0644063830231217	4.32336763494496	1.53665348590192e-05	0.000197557947489511	0.279277883560599	4.90707915403783	3.15699752035576e-05	0.000391680340025485	684.990725115636	-0.317502987305501	0.0650109171567686	-4.88384107149062	1.04038942645374e-06	2.60859945721832e-05	-0.320858316224981	4.90707915403783	2.009121362112e-06	4.9982764691711e-05	FBgn0028523	0.505726026
FBgn0040260	693.831511841489	0.313308015106222	0.0594876395244381	5.26677504118335	1.38841170582092e-07	3.12164491041145e-06	0.314181894412389	4.9250754353738	3.37116269896004e-07	7.72464027048786e-06	693.831511841489	-0.250064586790851	0.0600641167235359	-4.1632941668293	3.13688807964611e-05	0.000585462494192296	-0.253453652833503	4.9250754353738	4.41255917878324e-05	0.000825458824499725	FBgn0040260	1.373388183
FBgn0001112	860.349364429438	0.501311696990015	0.0944004599674827	5.31047938921799	1.0933724964676e-07	2.53567113103309e-06	0.502395123329547	5.23378903236361	8.72034590077213e-08	2.30092212224781e-06	860.349364429438	0.372123282656378	0.0943585681472264	3.94371481003992	8.02290610520449e-05	0.0013408869182509	0.366311075494387	5.23378903236361	9.21340571850073e-05	0.00158430879662118	FBgn0001112	1.09551305
FBgn0028487	1975.64032324769	-0.167097691503837	0.048428836355312	-3.45037593465755	0.000559806407828088	0.00425204264407409	-0.165866315338026	6.43206576310246	0.00132553356113019	0.00917338182695445	1975.64032324769	0.155827783805877	0.0480996691669445	3.23968514762605	0.00119661751192243	0.0135635532889858	0.151880466944118	6.43206576310246	0.00315102018656053	0.032874698415823	FBgn0028487	0.329149206
FBgn0038795	710.969239998341	0.463826227474811	0.104132109626579	4.45420945698793	8.42028680742418e-06	0.000116883343538419	0.465088275491238	4.95937389352327	8.80907620872165e-06	0.000132662471583547	710.969239998341	0.301852308626926	0.104110701463803	2.89933987940589	0.0037394929056989	0.035888640331447	0.298280946873986	4.95937389352327	0.00430761391937044	0.042248246449036	FBgn0038795	-0.564898019
FBgn0039709	1027.44348854326	-1.23965645826768	0.0794647475466405	-15.6000804953175	7.27023955046444e-55	3.66496602180781e-52	-1.23807190797177	5.49112346576761	9.68749440078993e-53	4.41842006527457e-50	1027.44348854326	-0.541932972737064	0.0784524408543032	-6.9077898257303	4.92262547012926e-12	5.35783031282932e-10	-0.545045092774468	5.49112346576761	6.9269944685471e-12	1.16397812315341e-09	FBgn0039709	-0.751893786
FBgn0039774	2306.35028143006	0.173727058479896	0.0583829304689439	2.97564814038082	0.00292370102007073	0.0165308195810138	0.17485306955714	6.65556033415309	0.00417239600167889	0.023383972442411	2306.35028143006	-0.245629300004083	0.0584923192479185	-4.19934280538591	2.67690791807281e-05	0.000509730100184918	-0.248713459220509	6.65556033415309	4.64732420643037e-05	0.000864312063091069	FBgn0039774	0.704578085
FBgn0011224	3362.06563561941	0.306147852349437	0.0610315307664914	5.01622437622888	5.26967834886048e-07	1.01351363906397e-05	0.307141509958828	7.19799005158783	8.47938717018728e-07	1.72432208738968e-05	3362.06563561941	0.425291367214145	0.060946721506358	6.9780844104925	2.99231867861577e-12	3.62790231693442e-10	0.42127701683987	7.19799005158783	1.45877053659788e-11	2.0547212058139e-09	FBgn0011224	-0.97060083
FBgn0034438	365.39807258481	0.305044813669903	0.0989283324897483	3.0834929285957	0.00204585972264666	0.0124335307255772	0.306009105734418	4.00325747538968	0.00216116904734121	0.0137630832017514	365.39807258481	-0.292949787889249	0.0996001916998861	-2.94125726958399	0.00326882919131093	0.0319751182103774	-0.297239494238162	4.00325747538968	0.00306673337642247	0.0322828420755684	FBgn0034438	-0.370117833
FBgn0034622	967.494303757773	-1.00382182917234	0.119881507168031	-8.37345019165755	5.59553413221827e-17	5.15327172292179e-15	-1.00205712786688	5.40610638065777	1.16642465816262e-16	1.14000156896751e-14	967.494303757773	-0.819542772512574	0.119522091291602	-6.85683093105447	7.04048705266058e-12	7.09829315688242e-10	-0.821622773824398	5.40610638065777	8.28314229466312e-12	1.36786098100488e-09	FBgn0034622	0.410486561
FBgn0033728	597.421210002141	-1.20471173646951	0.11315685161793	-10.6463879053226	1.81262618129597e-26	3.0195473682753e-24	-1.202942634534	4.71000453728428	1.01898533191107e-25	1.84147953000834e-23	597.421210002141	-0.599871452976994	0.112217872856379	-5.34559636275348	9.01198366398071e-08	2.82080978867998e-06	-0.601726261436724	4.71000453728428	9.55246518850187e-08	3.31498230345909e-06	FBgn0033728	0.597858744
FBgn0033138	36.5754797853069	0.681204289411367	0.239612876761435	2.8429369014654	0.00446999189978736	0.0234209969453848	0.679121248005196	0.748687771858526	0.00471388624226206	0.0257262691899636	36.5754797853069	1.43182072894164	0.234435755982426	6.10751855211445	1.01192053195033e-09	5.12813484392609e-08	1.41834031278723	0.748687771858526	1.32589394724204e-09	7.93713264167766e-08	FBgn0033138	-0.51392287
FBgn0010226	1951.29269677461	0.300871508519771	0.0817488419511947	3.68043756142008	0.000232834069043259	0.00205159587239773	0.302385722387356	6.41425981240059	0.000236297039146444	0.00221236856397326	1951.29269677461	0.335650933548847	0.081663934857848	4.11014891865195	3.95404033288591e-05	0.000709209706149461	0.331295757413486	6.41425981240059	5.48956600735295e-05	0.00100533581679592	FBgn0010226	-0.354932178
FBgn0030773	2612.96142330027	-1.40063744605371	0.170511141795917	-8.21434559232569	2.13324393945352e-16	1.89021551246003e-14	-1.39896710074881	6.83638332427082	9.95832761476728e-16	8.91409924245243e-14	2612.96142330027	-2.65166945909831	0.170911103052461	-15.514904600928	2.75043225189243e-54	6.58591002715644e-51	-2.65510771429017	6.83638332427082	3.21472667513659e-48	6.15813041889165e-45	FBgn0030773	0.351566143
FBgn0052066	1069.04793342852	0.124163574924147	0.0438474039341222	2.83172009705968	0.00462983575400474	0.0240089696003559	0.125606473698175	5.54702780591465	0.00607307128658608	0.0314420955583359	1069.04793342852	-0.144678032612761	0.0439690170599606	-3.29045410352165	0.0010002581783041	0.0117120694765241	-0.148383826923711	5.54702780591465	0.00140950614129238	0.0162733237050538	FBgn0052066	-0.351090156
FBgn0035999	360.373837513183	0.231590877094896	0.0896638207250076	2.58287986416694	0.00979794342456219	0.0429955334223396	0.232852017823005	3.98300288643948	0.00904016071369349	0.0423821142025239	360.373837513183	0.266352715267113	0.0892711240430775	2.9836379694131	0.00284843582011043	0.0285379898378846	0.262248011972396	3.98300288643948	0.00339713967781848	0.0350622886143808	FBgn0035999	-0.376921827
FBgn0023479	5966.69941757609	2.01759519191807	0.0724114185672229	27.8629425004985	7.5074481050629e-171	1.43812675900585e-167	2.01857809727329	8.02539833696415	1.08523483983703e-151	2.07887585919181e-148	5966.69941757609	-0.262491178828619	0.0727155881926263	-3.60983367325958	0.000306393408079816	0.00425926859591941	-0.265566901567795	8.02539833696415	0.000372125931075033	0.00527251799975839	FBgn0023479	0.71056247
