pval	qval	lfdr	statistic	param.cutoff	param.N.cens	param.eta0	param.eta0.SE	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44
FBgn0031080	0.0140032724487875	0.0511159121365096	0.10652279451872	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	109.613991674684	104.601484731027	45.2786053703883	88.2227173054869	70.5787468633647	74.3250430051889	114.189421366671	82.9287013287223	57.8132117381789	111.837300019902	83.515943812901	58.8555453487635
FBgn0024733	0.000781915288654684	0.0116933888951188	0.0205836653357562	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	27757.3014957596	18344.2637713888	14128.8935105773	32065.7300801553	24150.0041076552	19769.262648364	30331.1792754497	19992.258084403	17780.4951637086	29509.2318294936	20655.6059589305	16551.3277529572
FBgn0000316	0.0074775673792091	0.0357505647407103	0.0876544162516582	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	989.781786211008	896.20424629719	962.662522874778	954.31158841423	1084.68389916329	1036.95422902401	1022.56112467091	911.410581593337	957.688420532442	895.828069856383	1031.3715952798	1072.31932623235
FBgn0024989	0.00446964850699469	0.0272517222966955	0.0490544783602209	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	33.643898434804	37.2310369381622	15.7490801288307	24.7453963173927	23.2166930471594	45.5540586160835	26.7470716714724	31.4001878817492	13.4059621421864	19.2043848519023	15.0932428577532	37.3230287577525
FBgn0023534	0.00349410598069248	0.0242974227869453	0.043597298587375	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	641.404644353844	871.383555005082	844.544421908547	829.508720030859	528.411933753349	555.040240506492	636.786052486209	768.902036591552	708.840248268107	724.118275886433	512.164040973092	608.652468972579
FBgn0052816	0.000753384943539718	0.0115052073236729	0.0205836653357562	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	148.684325340908	157.788680356973	253.953917077395	143.092943922314	159.730848164457	315.282037263947	163.568630606312	171.493333815707	225.387738515509	131.041684871804	160.994590482701	285.664720107413
FBgn0001341	0.0272740598663155	0.0736557060493127	0.164831486047783	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	317.989104561212	268.595337911027	275.608902254538	230.239774431393	261.884297571958	240.956994258758	242.781112094903	275.355493732262	313.364365073607	260.953700046437	310.920802869716	310.068238910559
FBgn0040383	0.0239680999533991	0.0685142562334466	0.154385359631737	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	934.432146850524	842.130597410812	559.092344573491	1029.62366416282	1002.96113963729	731.262519889762	1082.22766916881	1112.69383724558	822.790926476691	1048.33347897443	975.023488610856	719.186054139769
FBgn0040382	0.00789444103410313	0.0369126875460031	0.0906149805231898	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	14355.0917611985	15410.1034793574	19684.3815260223	13244.1664637871	18211.1740261919	21150.2698990411	15625.433523769	17861.8761065797	22666.1304919017	14873.2312329497	18711.5962788519	17609.2920681288
FBgn0025621	0.0457798600797589	0.0985377509495729	0.224205984038706	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	1203.58333432896	1170.11830377081	854.387596989067	1078.03857000119	1256.48742771227	1023.76752784567	1175.84242001896	1210.92006600387	1124.42507467589	1134.18837595941	1207.45942862026	960.350239959093
FBgn0025639	0.00800962542747937	0.0372299853941041	0.0906149805231898	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	2936.7867472445	3438.55219721741	5179.4787273692	2936.09506739846	3246.62235571478	4147.81691609603	2632.52909258838	3117.47506354187	4165.90273568443	2802.71051868056	3221.90424203505	3712.2058602903
FBgn0026879	0.0257051591507258	0.0712502315495752	0.164831486047783	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	960.47903596134	892.658433255461	728.394955958421	1059.74849446225	1074.46855422254	867.924695738013	1082.22766916881	1089.34497958992	841.224124422197	1053.98182746028	970.998623848789	809.622623822015
FBgn0029529	0.0212827559461817	0.0643255357840414	0.140197420660141	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	291.942215450396	230.477847712433	122.055370998438	290.489435030262	240.524939968572	184.61381649676	321.993593583495	231.07317748877	173.439635214537	297.1031303559	250.547831438703	255.519196879998
FBgn0024987	0.0232624066820666	0.0674310588613879	0.140197420660141	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	3516.33002996016	4180.51357619936	6730.76312005903	3458.97605045293	3923.62112496994	5128.42796735804	3449.34351209412	4131.94267202915	5413.49508754165	3999.03072798436	4183.84692016919	4531.87699185479
FBgn0024985	0.0104285814962883	0.0434221292170661	0.100365211936488	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	4712.31635496513	5577.56391464087	7205.20415894005	5073.88213186191	5318.48004324328	6062.28616898775	4499.68044196232	5581.18211272527	6831.17558407786	4999.91807967762	5309.80283735757	5800.85996961838
FBgn0028550	0.00221126473427341	0.0194785185988772	0.0343645803253423	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	1909.01991441356	2175.35630110119	4384.15018086325	2161.45657398443	2549.19289657811	3415.35560519005	1820.85834071178	2209.28501403897	3189.78111720648	1959.9769245912	2338.44642676123	3305.95904727323
FBgn0026872	0.0243594148562192	0.0691319586884815	0.154385359631737	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	1184.04816749584	999.032824507353	635.86911020154	1078.03857000119	1100.47125043536	972.21951414852	1224.19289573278	1032.18053498468	901.550954062036	1240.37732749345	1150.10510576079	809.622623822015
FBgn0029580	0.0125638580217842	0.048241151685354	0.10652279451872	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	106.358130535832	127.64926950227	82.6826706763613	111.892226826471	104.010784851274	83.9153711348907	130.649157779884	112.718623165254	87.9766265580983	136.690033357657	111.689997147374	71.7750553033702
FBgn0000482	0.0254633482457179	0.0708681464202599	0.164831486047783	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	574.116847484236	569.989446458055	608.308219976087	537.943398204188	536.769943250326	543.052330344364	560.659771575095	549.905854441916	594.051697425635	546.76013343063	533.294580973946	486.63487495685
FBgn0024897	0.000834580449680695	0.0120415061670056	0.0237871613184523	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	96.590547119276	67.3704477928649	41.3413353381806	33.3524906886597	44.5760506505461	115.083937556422	109.045753737541	64.4106418087164	37.7042685248993	38.4087697038046	55.3418904784284	81.823563045842
FBgn0023530	0.0119043718751077	0.0468226533330781	0.106439504215873	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	262.639465200728	264.163071608865	236.236201932461	299.096529401529	307.389015944391	351.245767750328	302.447656592803	281.796557913134	261.416261772635	274.509736412486	316.958100012817	318.681245546963
FBgn0025390	2.5193293641278e-05	0.00314505334006566	0.00426846741647209	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	1767.93259839664	1876.62155233546	4136.10216883417	1906.47140323564	2064.42834575342	3746.22192566476	1696.38158408685	1856.63675013625	3239.21560260579	1762.28472758633	1997.33913817601	3779.67441227547
FBgn0025382	0.00057581135673829	0.0101276876317224	0.0205836653357562	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	408.067929402784	375.856182423352	155.522166272203	386.243359910607	370.538421032665	206.192054788589	451.614017837553	365.530392264465	284.038822887575	425.885475833362	354.188099061942	192.357148213032
FBgn0027791	0.0379202761679076	0.0889888978674183	0.197934659502213	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	224.654418580788	233.13720749373	163.396706336619	235.619208413435	261.884297571958	190.607771577823	238.6661779916	239.12450771486	211.143903739436	249.65700307473	231.429723818882	209.583161485841
FBgn0026873	0.0165528011392785	0.0561267248259428	0.126820134140994	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	323.415539792632	293.416029203135	192.926231578176	310.931284162021	316.675693163255	232.565457145269	314.792458902714	286.627356048788	251.361790165995	310.659166721949	315.9518838223	274.180711258874
FBgn0014411	0.000176538180981402	0.00636749111979901	0.00994755996568951	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	1394.59385447494	1681.60183504033	2080.84721202176	1472.88902428307	1610.30982975098	2007.97495215631	1476.23260956011	1624.75843962487	1896.10577048549	1509.23871542009	1733.71049626058	1884.8129522665
FBgn0023510	0.0464584967009969	0.0993511871746211	0.224205984038706	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	2678.48843022891	2472.31814334606	2551.35098087058	2447.64246182906	2479.54281743663	2347.23280974452	2458.67312672381	2179.49509220244	2054.46369829007	2205.11524887725	2305.24129247417	2514.99793783009
FBgn0023508	0.0472087953360954	0.100238349679798	0.224205984038706	pvalue	0.696421315226748	1566	0.538574330092805	0.0124475197784018	1586.68966166721	1744.54001653103	1659.55931857554	1683.76283637911	1508.15638034348	1566.81985819003	1528.69801937723	1802.69283762145	1880.18619044164	1795.04514880428	1670.31887625802	1406.79108394605
