pval	qval	lfdr	statistic	param.cutoff	param.N.cens	param.eta0	param.eta0.SE	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0053217	0.0335293279132698	0.0575284372923341	0.17118751389341	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	337.647199282669	294.19819951108	248.468460771092	278.55188554553	252.695685122712	194.103433099213	273.398023337602	255.115609737522	212.954141433413	322.694147835773	248.812789050423	212.982469537307
FBgn0024733	2.18176892867067e-06	0.000422769242335344	0.000515035330878733	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	25847.1068058474	19629.5576451559	13921.7631504773	25260.5293243789	18639.188395262	15345.9077014903	27780.1609820368	19730.9896077317	15026.6304900524	26470.6659189446	19235.8416959485	16331.3865423414
FBgn0040372	0.00572235374386109	0.0196060057971298	0.0501185611147793	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1165.73764056137	1249.43432878779	1473.24228760233	1066.75055427436	1292.73792599619	1421.01769161935	1091.50508553867	1165.95005574819	1286.34647375972	1029.80582077792	1308.82343829264	1291.54753963008
FBgn0024989	0.0260897515308581	0.0489463172256222	0.119603431762293	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	81.2062884350723	92.6179516979325	67.7641256648433	46.4253142575883	56.745697711767	95.6975065512398	85.5673202812342	84.0139758974971	68.9730012739798	40.0660519124953	71.5762817816286	106.491234768653
FBgn0023534	0.0441291679484904	0.0686079514830383	0.189572425275714	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	512.881821695194	666.486044571396	880.933633642963	660.271136107923	559.477113376953	535.364352687596	550.970062298679	630.104819231228	695.765150351271	818.646898536391	536.254047633789	590.707789443215
FBgn0052816	0.00048652126175699	0.00473935536572546	0.0109274200162638	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	157.070057894153	171.615616381463	245.958678339061	152.687700224957	172.89704771554	233.826926384633	164.873617127256	183.396362020146	218.127116528961	149.435544970929	187.461690380456	270.323903643505
FBgn0000108	0.00356389212854265	0.014929654016561	0.0368866207145536	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	18669.9668135003	20386.8456031567	22888.3791859808	18415.37465551	21227.3242018346	24560.8553370422	17066.5063804828	18310.9485029277	22211.0307352533	19258.7765746954	19343.7741843493	23181.4124642977
FBgn0003575	0.0372658123372393	0.0616506116446315	0.175803555956431	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1597.41317382149	1426.49805997502	1430.5759862578	1359.74587092225	1619.9123393656	1760.47299787658	1584.0389291087	1468.19545684285	1569.13577898304	1475.9467231549	1625.80411475414	1778.49463878589
FBgn0025634	0.00162075378493364	0.00931358614772521	0.0189652961875755	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	384.661366271395	455.825605415315	440.048519749476	374.497535011213	434.459248105716	511.891379382575	386.096445171423	474.371595616355	448.324508280869	390.914722713806	429.457690689772	513.342362474535
FBgn0040382	9.02077402587872e-05	0.00208574772676918	0.00311162447736716	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	14932.3405378965	18250.2765801642	21434.3785636907	13425.1692096444	18878.5843074835	24502.1729037797	15507.5115451149	19852.9123288512	23247.3500793949	14959.7974911114	19313.0986350144	25072.7696083085
FBgn0015799	0.0233468065708159	0.0458688730840864	0.108296860155643	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1190.31322785093	1362.93672057448	1607.93394478801	1371.09428107411	1434.60217027561	1439.07382493091	1339.85901513542	1391.35340571709	1597.58714200856	1338.42270713093	1407.6668750387	1524.55400202987
FBgn0025620	0.0358125529251558	0.0600712363460973	0.17118751389341	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1917.96431238098	2195.59026672158	1690.75676504504	1564.01725365564	1293.62457752294	1335.25105838947	1890.8290774341	1853.43027315332	1588.96551684931	1661.1168549667	1451.97600185589	1317.94280294881
FBgn0025639	5.83591896069974e-05	0.00177314321059236	0.00304058404098423	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	2859.3161559507	3417.78402148057	4666.52213529007	3054.78567814931	4050.22417417737	4292.84569482212	3015.72628796057	3598.2571140489	4589.29107226743	3088.33459606586	3977.59623043622	4621.90162525831
FBgn0026879	0.0073085511909671	0.0227373884104424	0.0576975088447734	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	981.954987787256	930.719612650792	813.16950797812	1032.7053238188	870.691799264925	668.076932527523	939.153515281839	971.2835262296	785.430052007445	1099.10926192386	897.543850912486	806.420803461769
FBgn0029529	0.00663552442188148	0.0214655543664005	0.0531761885474339	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	268.194452594778	233.360917513418	151.423540065884	319.818831552275	227.869442373814	235.632539715789	291.13758973737	210.034939743743	210.367653885638	289.12529353071	188.597821837307	185.677024724832
FBgn0025633	0.00156440820117268	0.00914594409208681	0.0189652961875755	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1976.73202111689	1645.33067133974	1717.52777765337	1514.49691844755	1869.94806990807	1770.40387119794	1927.35171413951	1653.64094022634	1705.35745649915	1551.74736190827	2015.49720445411	1796.69826866087
FBgn0052815	0.00120707856728987	0.00793044592775383	0.0189652961875755	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1332.42423261231	1687.09955151724	2262.15056540415	1434.0263737344	1703.25758287976	1920.26977768384	1459.86196431033	1767.36717589247	1931.24403567143	1547.41589683664	1731.4643402413	2067.93235379813
FBgn0040340	0.0437118218103249	0.0681925033611289	0.189572425275714	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1545.05648785677	2009.44634419142	2141.68100866665	1878.67771695708	2239.6817565613	2050.27393752703	1498.47160882747	1959.98458404771	2423.53883226446	1755.32622027446	2112.06837828647	2002.39928624819
FBgn0040348	0.0379109915839946	0.0623394826433152	0.175803555956431	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	912.502241099366	1064.19842539193	1121.87274711796	1038.89536571981	1049.79540766769	924.474025551599	973.589144175506	1051.19925940039	1052.70043194412	1217.14168512553	957.758818125602	876.504778480456
FBgn0024362	0.00487299811668937	0.0178801850146114	0.0393991719214503	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	1052.47623827035	1130.48382219535	1218.08107367916	1072.94059617538	1125.16078744113	1207.95531854301	1065.41748789195	1159.80269165813	1330.31676207189	1031.97155331373	1197.48255552122	1354.35006269877
FBgn0024987	0.00110191303613539	0.00751323116730901	0.0189652961875755	pvalue	0.759144869009104	1051	0.455587689780564	0.0132596279314064	3195.89485143818	4059.75354942604	6280.31223908616	3422.06149760935	4243.51420700808	5118.01098716017	3510.34713934234	4388.19339962171	5692.85909265111	4132.21767832655	4393.42034364378	5451.98714755756
