pval	qval	lfdr	statistic	param.cutoff	param.N.cens	param.eta0	param.eta0.SE	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44
FBgn0053217	0.00489431342925453	0.0150335526346495	0.0418401656425924	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	327.403325939584	257.924778378848	289.724394307767	351.849666877982	227.463096911086	197.234334189875	338.834423758871	253.326568063253	243.649722669428	367.369317216847	221.542737357012	252.832455173413
FBgn0052350	0.0301910838002073	0.0474094681049313	0.112282138956453	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	732.319100069811	518.564554424842	651.246379041657	683.529607629201	571.387299440647	651.780127351598	647.071759084666	605.561517282676	708.989321759108	748.541527855136	567.703264477343	609.568659048227
FBgn0024733	9.77216797510679e-05	0.00157425511214905	0.00308253694560086	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	25925.0216642407	18790.4988543159	15943.2884622714	26478.3682430787	17287.1953652425	16590.3546850748	25304.9253596508	18116.3820587067	12332.0222293587	23997.9228547259	19079.5028535548	16210.1392835155
FBgn0040372	0.00969365847866074	0.0228950995410935	0.0685645005959847	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1229.78705114409	1126.72403186549	1354.86276521766	1101.49115458935	1262.87511405035	1455.45336264252	1177.42129192464	1102.12196145447	1429.48142012493	1248.63097412431	1221.94666073477	1346.1307887315
FBgn0024989	0.00698906628453384	0.0186756763428277	0.0438024515603463	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	165.437016287493	140.274879469198	126.701630163746	51.544855657284	64.5995195227483	171.163129095811	154.118667662898	121.112303456535	103.524989460401	47.7792464588385	64.905098835062	151.237678665375
FBgn0029525	0.0141040548038841	0.0290784019252771	0.0725776964160374	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	450.034960390452	441.639620522378	474.708774346837	482.952886701943	446.737522333372	421.673404130077	419.293434082883	434.995023248055	499.847928909814	465.051332199361	480.297731379459	427.159855772432
FBgn0052816	0.00136827721180743	0.00709296007979854	0.0170205845596442	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	175.849136193699	160.1848623616	219.616158950494	162.478349354482	155.584758287182	290.183848003494	141.653187190163	173.594301621034	264.563861954358	151.831827635865	191.253691233983	285.158065880515
FBgn0040370	0.0257181090140762	0.0430804559111214	0.112282138956453	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1234.41465999129	992.784146952969	1023.74917172307	1249.40247951895	900.753863767899	894.355687792018	1313.40835162719	1085.97365432693	1135.63776317167	1208.2840548924	844.631686173607	1051.73683407753
FBgn0000108	0.000990090082394826	0.00585069574816869	0.014788804678654	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	20329.085665761	19924.4628799604	24466.9294621539	19705.8224258477	20766.4708955945	22808.9038653371	20909.1436547656	20767.7322352094	25660.6031956442	19437.6592204879	18902.9609847235	24191.1016698798
FBgn0040382	0.0114621162681639	0.0255646158040896	0.0709348291518216	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	17079.347352813	18931.6787330074	22671.9897015008	15499.3139880772	19339.8223517681	25344.6119433989	17659.0529278745	21971.7903854064	20145.5446662083	14735.1196079058	19754.5158814395	22880.7599501455
FBgn0025620	0.0271110743666792	0.0444892738836241	0.112282138956453	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	2045.40311046355	2029.00825658027	1707.09329707288	1744.68130996503	1440.29632964099	1217.41192482716	1844.89110996469	1945.87100886833	2093.50534242144	1640.42079508679	1585.41521421112	1304.56928925094
FBgn0025639	3.17039601785605e-05	0.000833526351272132	0.00146853427600778	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	3025.2992838587	3567.50693462954	4333.19575160013	3147.59781611545	4076.13869664665	4223.53522523835	3032.51143136702	3783.75021382125	4405.56344037039	2981.42497903152	3995.55788428642	4533.66690167119
FBgn0026879	0.00715512368453692	0.0189276623381946	0.0438024515603463	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	983.366880030552	886.899237934285	831.162693874177	1061.15170233582	824.326263205774	845.613869572682	942.843613937727	887.14762281912	785.325930149101	946.029079885002	912.132988962072	794.286434517387
FBgn0025633	0.00331995386404981	0.0120107697564511	0.0283963426523282	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	2062.75664364056	1632.61859717699	1680.06361597128	1558.67161346265	2008.95407191871	1841.98731642843	2114.59877837476	1652.17367298623	1452.48697333835	1499.20657777511	1813.01576079273	1855.25915736837
FBgn0052815	0.00168450529092643	0.00796510899156112	0.0170205845596442	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1396.38096964338	1666.10356840512	1805.07589106617	1442.13541806358	1687.77617908025	1784.17725295898	1527.58797065872	1836.86993575745	1804.89022028941	1460.98318060804	1607.05024715614	1766.36372792384
FBgn0040397	0.0305130141029744	0.047719868868152	0.131173190276929	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1346.63417453596	1152.06401009219	1251.81210601782	1017.45062906117	1399.352972197	1600.54528664427	1399.53348943881	1169.74299755104	1227.65997602536	1011.85826389496	1329.25642414207	1590.88184122814
FBgn0040360	0.0379497669589181	0.0545462420153411	0.134437415548285	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	41.6484796248234	35.294969672895	43.0785542556738	30.2545891901449	30.9349811799076	24.9376744378003	30.5970884330753	50.4634597735563	50.1939342838307	39.2851581994894	27.6928421696265	26.5531802236917
FBgn0024362	0.00625433313943628	0.0174966033171479	0.0438024515603463	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1117.56753659943	1160.20900309363	1241.67597560472	993.91928191328	1181.89825155	1209.47721023331	1061.83229117746	1168.73372835556	1168.05467906331	1052.20518312687	1208.10023964995	1273.39816464052
FBgn0024364	0.0121476988289845	0.0265219932689295	0.0709348291518216	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	333.187836998587	377.384675733262	420.649412143638	312.630754964831	376.678888484758	437.542833317768	303.70443333571	340.123718873769	424.557027484068	325.96063695252	369.526362700953	357.890689971497
FBgn0024987	1.2359445195997e-05	0.00059524384757445	0.00104558269572436	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	3523.92413714478	4469.79115934432	5796.17724122419	3999.20847480101	4630.23880072206	6020.18131541624	3939.09182938406	4742.55594951882	5489.96156229398	4013.45670254243	4482.77882620828	5609.64794377905
FBgn0024985	0.0346560422312854	0.0516480488887025	0.131173190276929	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	4585.96036757777	5990.18985294595	7000.68740531421	5777.50599497731	6018.67354426732	6493.99712973444	4881.93544332179	6411.88719882806	6842.06066706467	5858.79737688602	5761.84197391791	6259.62361621115
FBgn0024365	0.0460744065269941	0.0614311622658372	0.161157350270381	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1138.39177641184	1213.60395721416	1329.52243918491	1150.79492956588	1154.60267992067	1212.8778022021	1175.15484092959	1196.99326582876	1236.02563173933	1115.91084507198	1240.12008840859	1271.08919244716
FBgn0024360	0.0471732049519915	0.0623295750252891	0.161157350270381	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	299.637672856368	264.259772935521	229.752289363594	310.38967428408	276.59512584388	233.507315190312	252.709285947251	254.335837258724	250.969671419153	296.231328044799	265.678204564854	203.189553016076
FBgn0025641	0.00062211979715809	0.00441489477004891	0.0113381088147656	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	2935.06091133825	3270.66718968827	3632.1133980274	3856.89985157329	3488.37405422841	2749.94537209561	2705.00926258336	3533.45145334441	3850.29304235551	3707.66952520587	3227.94691539708	2454.43744154646
FBgn0028550	1.16235655752989e-05	0.000579443751941019	0.00104558269572436	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1787.413917232	2190.09811816425	3342.38900371963	2153.67853420217	2226.4087925657	3201.09057328854	1881.15432588537	2312.23572682435	3022.09312667231	2152.18961271257	2318.41013038842	3312.22061138137
FBgn0040366	0.000845423769778041	0.00531247283877017	0.013979820618483	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	195.51647379431	154.754867027309	149.507923593221	170.322131737112	172.871953652425	126.955433501529	189.248658086058	139.279148975015	145.35326803026	173.067048284237	165.291651699958	145.465248181963
FBgn0029580	0.017132200627667	0.0330900875139283	0.100040407555858	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	101.807394638457	113.12490279774	79.3996882359478	112.054034037574	107.362581742032	57.8100634694461	99.723843781875	136.251341388602	85.7479710682108	111.484908403956	118.559980538713	88.8954294445332
FBgn0025381	0.0425439477560431	0.0585575139102064	0.150333611639008	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1615.03548767371	1811.80844320861	1784.80363023998	1804.06994800494	1630.45547865866	1743.37014933349	1450.52863682727	1751.0820541424	1744.23921636312	1870.82293912163	1702.24439211423	1609.35361877506
FBgn0025394	0.000321536703513047	0.00298853790527597	0.00711961034164425	pvalue	0.809527550902106	754	0.413298993038079	0.0144468780762746	1513.22809303525	1831.71842610101	2268.80385746549	1664.00240545797	1903.41119495196	2388.34909274751	1578.58311804718	1900.45389507213	2086.18539367171	1689.26180257805	2034.55849814974	2233.93059708015
