x	BH.Q	ADJ.P	PER	LAG	AMP	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44
FBgn0033936	0.00431908369408369	9.01875901875902e-07	24	22	2532.13315976453	4336.80703695087	1537.99640685027	179.145786465449	329.221359700963	3345.98980195662	6646.09739388335	3738.41763285118	1326.85922125956	135.735366689637	297.1031303559	3523.76909919011	7754.57697497611
FBgn0026314	0.00431908369408369	9.01875901875902e-07	24	2	1449.6500545196	4584.25248350362	3364.09012334109	1464.66445198126	1045.76196610894	1329.85217774129	2427.55180783077	5018.16213897856	3335.6661126689	1437.78943974949	1182.76417293775	1421.78347720035	2924.1157530593
FBgn0004784	0.0110856481481481	5.78703703703704e-06	24	2	3809.1807174574	16172.9475637242	13691.2706073789	11530.2952893202	7822.77289668531	8393.29887040908	12462.6314045475	16242.6736392645	14551.9742506342	9979.06306959001	7342.8530316097	9335.67381561561	14027.7168084907
FBgn0000454	0.0110856481481481	5.78703703703704e-06	28	26	546.869317072904	2658.9532633958	2396.9696162093	1844.6110100893	1626.74083616947	1930.70019380178	2450.32883713881	2801.24139082382	2463.7070491834	2084.62711310999	1668.52214272116	1874.58076293295	1959.45900978201
FBgn0051300	0.0110856481481481	5.78703703703704e-06	24	22	292.453999069489	988.696499164724	606.334030135784	555.155074541283	468.010756437644	675.141433811396	1211.97771739106	915.572837985017	577.28037721062	427.315043282192	503.832684938142	713.407279076468	1250.32146338471
FBgn0261788	0.0252666396103896	2.63798701298701e-05	24	0	5517.59192761053	23074.2878910441	19224.5118589982	15510.8752918822	10612.5473597722	14372.9903316355	20820.6023695826	22110.5696705753	18056.718298051	12821.1270437335	10995.0751625626	17251.5765864119	24937.5252146029
FBgn0039298	0.0252666396103896	2.63798701298701e-05	24	22	827.733647556335	2967.17478454046	1641.71143832087	1322.92273082178	1408.33581649857	1767.25467474978	2536.64179030613	3183.93026243104	1622.34304055704	1171.34594217354	1466.3112669276	1889.6740057907	3693.54434591143
FBgn0039611	0.0252666396103896	2.63798701298701e-05	24	20	752.141178470292	1239.39780685633	683.455463793406	478.378308913233	925.262644911204	1830.40407983805	2694.88220444621	1112.06094141776	661.014211561952	560.536792070169	789.639118322335	1674.34374102009	2738.93611037661
FBgn0036757	0.0252666396103896	2.63798701298701e-05	24	6	266.676394329305	540.472949049432	837.69833110865	744.144036087251	410.988756228	280.457652009686	303.294127101819	685.136528200024	988.703351763796	647.675545994381	471.072263720191	267.65350667749	422.037325183816
FBgn0046876	0.0252666396103896	2.63798701298701e-05	28	18	60.3220998688917	277.833483848704	202.111343378595	291.357982383368	339.980227665047	367.752417867005	378.817961123221	296.275255437848	267.304163506173	256.389025969315	337.771239454046	368.275125729178	414.859819653479
FBgn0016076	0.0482676546163388	9.57491582491583e-05	24	14	3685.85685191812	1263.27412187458	1792.40849259438	6031.89768934217	7804.48282114637	7853.74292399309	3341.03056218486	1366.15812229674	2058.7251388111	6278.17964571267	8486.07876514647	7862.5733126989	2972.92279066559
FBgn0032167	0.0482676546163388	9.57491582491583e-05	24	16	1833.55069793398	1631.18643056485	1105.40721575924	1515.84896239996	4584.35363949609	4741.77738795184	3869.69740033468	1423.76719974299	1294.6539003552	1656.47419719391	3657.8704794388	4242.20745921916	3272.94252183368
FBgn0034997	0.0482676546163388	9.57491582491583e-05	24	20	1098.23373743324	3911.37451480754	2328.712715156	2273.77344359994	3387.96752188998	4194.79209976077	5305.84903775752	3702.41195944728	2710.07775410174	2664.43497575955	3059.14553993832	3962.47935825547	4787.39618873479
FBgn0051036	0.0482676546163388	9.57491582491583e-05	24	20	290.782141782518	613.18718115046	418.405938924109	295.295252415576	419.595850599267	830.228943366421	903.888426224394	659.418190054378	454.900157774059	377.880557882879	475.590942508874	858.302410510898	1032.12529526246
