x	BH.Q	ADJ.P	PER	LAG	AMP	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0004919	0.00791832010582011	5.78703703703704e-06	24	12	5454.77878278636	1655.1123787622	2507.04082978423	9896.90872364316	10481.8042857133	6256.21317272231	2510.70533697168	1668.56274548407	2732.50333803201	10418.3718424346	12264.5433502952	5982.86825177867	2478.424207479
FBgn0016076	0.00791832010582011	5.78703703703704e-06	24	14	3769.64117784074	1573.90609032713	2473.44412181537	6168.20862378876	8292.59280005545	7801.64678384122	3616.6435023044	1630.99660487279	2565.49994691869	7180.0894326213	9430.68232718708	7905.20267677098	3325.80317815949
FBgn0003068	0.00791832010582011	5.78703703703704e-06	24	12	2966.16325848911	681.705421336528	1416.50984949779	5095.69493116741	6254.00566732223	4310.01307151405	1234.13671184476	748.192300507865	1505.07964138321	5547.15362745982	6270.87855743947	4526.34772409537	1177.77485291143
FBgn0031011	0.00791832010582011	5.78703703703704e-06	24	22	645.399256785728	2479.9973086553	1542.72450916458	1370.34120788905	1443.31143658591	2041.95846609687	2743.62945669073	2249.79442105294	1566.55328228382	1378.59786296367	1480.27818822652	2173.41947695644	2849.77825692867
FBgn0036910	0.00791832010582011	5.78703703703704e-06	24	4	321.94592787852	1244.80692140604	1495.50751418132	999.730002092441	834.623982986422	731.487509565747	863.083172292314	1334.64149560608	1578.84801046394	1182.02480933283	822.978363608013	808.925597278089	957.510931424132
FBgn0024980	0.00791832010582011	5.78703703703704e-06	24	2	164.130803051376	965.927430859281	813.585144326936	617.406478279683	515.836825084315	523.124400780352	631.964665904414	1000.72024572809	760.224025804181	556.956985287387	525.190139934061	555.56828240026	641.677953093168
FBgn0266580	0.00791832010582011	5.78703703703704e-06	24	16	152.136238302747	1102.69591664467	1010.62529646862	1074.18688090937	1277.21197890876	1538.34039890493	1220.5946118611	1054.98244883327	1034.80628849356	1178.57615926913	1278.86506239614	1532.64133529233	1124.98432627398
FBgn0038862	0.021055533008658	2.63798701298701e-05	24	12	2335.48388306478	1079.1888331503	2049.39918610033	5188.55688115257	5198.60352319973	2896.69053788036	1129.41113863775	1094.63559725628	2225.345800602	5440.24547548516	5649.31331966184	2690.35928982376	1137.72686718647
FBgn0033464	0.021055533008658	2.63798701298701e-05	24	22	284.663957985025	997.982544715231	620.17706872243	366.42823507656	590.117327896456	815.719404606651	1017.46311210611	885.934816082535	641.374986729673	472.465058726762	523.02440739825	830.512094958262	1155.93049706145
FBgn0032405	0.021055533008658	2.63798701298701e-05	28	2	207.701333134274	883.652638629011	1004.26916252856	745.405382313276	589.085654246288	452.192278640643	597.65801261246	874.456273117979	1045.05189531033	899.235504109511	697.365876531	478.311343334375	518.80345143703
