x	BH.Q	ADJ.P	PER	LAG	AMP	WT2U_old_ZT00	WT2U_old_ZT04	WT2U_old_ZT08	WT2U_old_ZT12	WT2U_old_ZT16	WT2U_old_ZT20	WT2U_old_ZT24	WT2U_old_ZT28	WT2U_old_ZT32	WT2U_old_ZT36	WT2U_old_ZT40	WT2U_old_ZT44
FBgn0002936	0.00863816738816739	9.01875901875902e-07	24	20	1379.0345470814	4339.48710586151	2913.62636779798	2121.36029701973	3575.67037655543	4527.64248582649	6107.68844723057	4241.36773267068	2818.1104378048	2365.32574273098	3533.99915329358	4753.10533088401	5444.82049419246
FBgn0011693	0.00923804012345679	5.78703703703704e-06	24	2	6280.98230141167	17506.2820979762	12657.1416847452	8093.04310283473	3589.0053220194	3818.65021853922	10481.0420563392	19947.6986912969	15207.1455130489	7831.11797703119	3730.33243958767	4521.81292764185	11700.2791197971
FBgn0026314	0.00923804012345679	5.78703703703704e-06	24	2	839.181478701748	3078.16612178514	1715.32909335914	1095.50045641549	581.975119892212	764.217323616632	1583.55418264455	3675.57771254726	2185.17051605496	886.737569926363	584.972509419821	880.583125596647	1634.33998165115
FBgn0028572	0.00923804012345679	5.78703703703704e-06	24	20	758.126448401381	5056.91794999411	4640.10712783971	3830.23386961895	4673.89838512453	4928.83627739569	6043.37442356721	4983.06701359612	4438.43663748439	3937.3640107269	4751.26552831693	5375.45838378459	5935.05373227293
FBgn0263457	0.00923804012345679	5.78703703703704e-06	24	2	229.699087272206	829.892976456089	751.216819254801	425.879150538051	316.228706717209	372.769130223203	572.394810603918	756.101208710394	678.336991999483	437.138778617095	252.716178768287	412.425008190835	574.116064231684
FBgn0030329	0.00923804012345679	5.78703703703704e-06	28	26	105.634169442764	1786.79060234646	1664.63969934735	1643.25068462324	1509.7063257433	1642.94542579856	1716.46983154883	1898.99704935971	1780.08896613506	1685.2167166165	1578.72098927759	1556.81151740504	1663.21767589993
FBgn0002938	0.0120317331478046	2.63798701298701e-05	24	0	12376.7933644876	80745.8720059835	67118.840398898	57733.4097501411	47607.660298613	60600.5658564819	76557.2699680769	77976.1518642828	64642.8089737473	60344.8798025884	45162.6968718339	64512.0028014902	75670.5599581823
FBgn0016076	0.0120317331478046	2.63798701298701e-05	24	14	3649.46548533147	1907.00874379571	3035.28091342628	6524.79000446977	8521.98264758694	7970.27504141725	3082.7855342638	1765.26486278508	2838.18991118445	7260.03406197322	8411.11935231184	7560.19626501172	3248.74060298767
FBgn0086367	0.0120317331478046	2.63798701298701e-05	24	0	3555.85026796978	12896.3041738539	7485.80970766188	2977.1363259311	2635.55672134493	6838.97351984661	9384.13065274738	12046.1838829914	7173.61012002542	3383.93178031618	2663.08483204032	7261.095245558	9292.42947076792
FBgn0003068	0.0120317331478046	2.63798701298701e-05	24	12	2888.53227766517	789.173928545861	1920.11424516679	5442.68197417183	6951.31657115117	4883.35681924209	1837.95187624629	807.53666508525	1723.34262832301	5604.92904269615	7171.70255524506	4779.11411518433	1708.59690971944
FBgn0025680	0.0120317331478046	2.63798701298701e-05	24	4	2276.49049619013	5229.48915304223	5854.62500836232	4009.69237959411	2151.68870022342	1371.69294323963	2320.3070537215	5831.75204378125	6438.52679021388	3841.83724675357	2397.27976751909	1495.50509726857	2623.74479174624
FBgn0038862	0.0120317331478046	2.63798701298701e-05	24	12	1967.20678081497	1051.90873768091	2570.96606427824	3914.60615415951	5534.00236755115	3048.74796265339	1169.80063041025	1099.69005729444	2372.8699411256	4670.42809078312	5878.92337780092	3276.1779366871	1165.42123218288
FBgn0020236	0.0120317331478046	2.63798701298701e-05	24	6	1566.68617760066	7895.61729002148	9297.44864964343	10004.1423098089	7765.70074055844	6756.94806853388	6562.88881471459	8633.95570708345	10487.5962482494	8753.15891625204	6972.34875685414	6568.14692098511	6835.07520302655
FBgn0053094	0.0120317331478046	2.63798701298701e-05	24	20	958.22147630385	5283.78121692253	4612.73485507334	4061.92284145255	5011.08200614227	6148.66031572957	6521.44199946487	5191.89496647804	4712.5651001457	4485.60456918254	4869.06550009338	6334.06786228221	6229.33118795097
FBgn0032484	0.0120317331478046	2.63798701298701e-05	24	20	530.334657893485	1530.84230119645	781.630455661878	660.246607595155	993.453437066411	1559.2957081232	1702.1778262903	1427.84826896602	825.877470310824	818.207500119408	909.174141146468	1602.32688993061	1606.83741569994
FBgn0036876	0.0120317331478046	2.63798701298701e-05	24	6	501.141745844346	1537.62880918149	1952.55545733434	1877.61814168034	1143.94782158846	1015.16647664271	1059.03758965669	1571.86754681562	1854.2957155816	1654.06668488606	1068.25444491296	786.765725084768	1043.03481369996
FBgn0020389	0.0120317331478046	2.63798701298701e-05	24	4	266.404568616804	1152.73685631576	1254.05560785181	1047.28772239232	753.424418714795	670.822007765503	793.920892111053	1222.1064434666	1124.4505092604	896.082579445494	764.189560498526	719.885994026794	840.203389809722
FBgn0000287	0.0120317331478046	2.63798701298701e-05	24	20	134.677774811768	803.716445656657	668.086213075458	562.481896937049	723.897039473128	821.066646308624	978.287759946023	770.503136495353	617.225551278808	648.958994384048	717.875041680434	807.201198463593	974.965962970692
FBgn0034053	0.0120317331478046	2.63798701298701e-05	24	4	108.95367144544	443.062021308917	451.135606704975	322.757469432926	256.221452129305	211.966760322998	295.844508851463	466.005234756202	461.827887731951	317.73032365043	222.511057799966	222.003551706328	315.591944290231
FBgn0034631	0.0120317331478046	2.63798701298701e-05	24	12	91.837271554695	311.209866171033	362.936061124452	467.395671502453	561.020205591674	446.673249722792	353.012529885563	337.41659381906	419.04987922748	521.243864289267	523.555430117568	415.211663651583	375.410025234131
FBgn0033221	0.0120317331478046	2.63798701298701e-05	24	8	26.8348499913134	49.4445581767063	84.1443940595797	104.460923716881	77.1521844701624	50.3522572414784	41.4468152497219	67.8948024148109	88.1750787541155	103.833439101448	68.4649408615281	40.8709467576503	46.0667979682908
