x	BH.Q	ADJ.P	PER	LAG	AMP	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44
FBgn0004797	0.000719847282347282	7.51563251563252e-08	24	0	488.237057919308	2121.75865644239	1097.76405674927	916.4751248511	722.748519542351	929.869140172518	1439.58393345483	1893.6198063581	1024.40823340319	897.216575323474	729.429829271601	995.211515470951	1697.09456212291
FBgn0003068	0.00426371082621083	9.01875901875902e-07	24	12	3438.96787652445	773.967579694634	1897.78336933489	6010.72533496813	6878.99714956666	4393.67717993453	1138.0647788887	780.79236779218	1947.88954725927	6826.37506260097	6065.84077820765	4357.29563512716	1119.85151378178
FBgn0004919	0.00426371082621083	5.78703703703704e-06	24	12	4305.38801843887	1750.39304645438	2694.18268503098	8829.41426734428	9514.5080301304	5642.90450817021	2441.6250335919	1895.88625735315	2872.38013031082	9285.87784250868	8466.48247250618	5257.31300564002	2420.95734474268
FBgn0087012	0.00426371082621083	5.78703703703704e-06	24	14	478.389745529629	1601.1526611321	1813.61844165337	2251.06562924256	2808.0740929816	2501.1842136343	1877.1267667726	1458.46121530992	1846.96262771216	2337.15506509087	2529.11477922118	2419.66208457111	1947.61804510295
FBgn0036757	0.00426371082621083	5.78703703703704e-06	24	6	325.902582656431	558.783768299713	1000.92913995441	955.330291434649	531.1361213381	237.471473175173	346.860380816676	623.274023636719	1030.46384857602	946.364802643058	548.930453760433	231.927553170622	284.003579783833
FBgn0030065	0.00426371082621083	5.78703703703704e-06	24	0	269.796539499443	2069.69805691136	1661.57857229321	1356.55212028651	1252.76410054008	1403.90223413522	1702.563045708	1936.68237526391	1615.83998194927	1330.13925852151	1268.80443374027	1406.27714142634	1649.76063215893
FBgn0261402	0.00426371082621083	5.78703703703704e-06	24	6	195.221901635302	362.110392293603	576.484504657285	543.972332169685	281.25562543431	146.486234410739	252.777336346794	403.428277117585	588.403940959666	446.516873733244	340.825291406381	115.09837526751	161.628053535515
FBgn0036680	0.00426371082621083	5.78703703703704e-06	24	2	184.34659720436	1099.05710121062	792.779318806564	569.312658202434	466.144781596307	563.198627951848	624.57539160127	1144.55775249652	742.822127866749	542.721914443919	444.877872583407	501.067363006679	686.919227525938
FBgn0033981	0.00426371082621083	5.78703703703704e-06	24	0	177.165871420632	721.906980163605	494.12957542053	244.956484983243	202.817801608009	345.74390730485	454.545793161723	623.274023636719	408.754024165806	332.534814630378	204.919879256796	363.468553476347	498.737993766732
FBgn0011279	0.00426371082621083	5.78703703703704e-06	24	2	75.4070282148805	185.104353888104	171.949852252565	91.2251737178975	40.3394522535266	66.419224298037	112.219534970101	232.311226991868	182.677724380274	80.5194362469784	24.4205037456286	58.8472896104562	130.456928925094
FBgn0039073	0.00426371082621083	5.78703703703704e-06	28	14	67.0243089110179	664.061869573572	743.004361575559	759.365103448054	982.713878509523	837.064196632795	758.332009040381	715.065288935944	690.34012970225	731.994874972531	768.71498747109	1007.32713392016	846.238308868089
