RAWDATA	FLYBASE	SYMBOL
FBgn0031081	FBgn0031081	Nep3
FBgn0052826	FBgn0052826	tRNA:Pro-CGG-1-1
FBgn0031085	FBgn0031085	CG9570
FBgn0062565	FBgn0062565	Or19b
FBgn0031088	FBgn0031088	CG15322
FBgn0041626	FBgn0041626	Or19a
FBgn0040784	FBgn0040784	karr
FBgn0031086	FBgn0031086	fd19B
FBgn0031082	FBgn0031082	CG17003
FBgn0031080	FBgn0031080	CG12655
FBgn0052821	FBgn0052821	CR32821
FBgn0053217	FBgn0053217	CG33217
FBgn0052350	FBgn0052350	Vps11
FBgn0024733	FBgn0024733	RpL10
FBgn0040372	FBgn0040372	G9a
FBgn0000316	FBgn0000316	cin
FBgn0024989	FBgn0024989	CG3777
FBgn0040371	FBgn0040371	CG12470
FBgn0029521	FBgn0029521	Or1a
FBgn0004034	FBgn0004034	y
FBgn0000022	FBgn0000022	ac
FBgn0004170	FBgn0004170	sc
FBgn0002561	FBgn0002561	l(1)sc
FBgn0000137	FBgn0000137	ase
FBgn0029522	FBgn0029522	CG13373
FBgn0052817	FBgn0052817	CG32817
FBgn0029524	FBgn0029524	CG3176
FBgn0023536	FBgn0023536	CG3156
FBgn0023534	FBgn0023534	CG17778
FBgn0023535	FBgn0023535	arg
FBgn0023537	FBgn0023537	CG17896
FBgn0029525	FBgn0029525	CG18273
FBgn0029523	FBgn0029523	CR18275
FBgn0010019	FBgn0010019	Cyp4g1
FBgn0011822	FBgn0011822	Pgcl
FBgn0052816	FBgn0052816	CG32816
FBgn0040370	FBgn0040370	CG13375
FBgn0040373	FBgn0040373	CG3038
FBgn0000108	FBgn0000108	Appl
FBgn0025640	FBgn0025640	CG13369
FBgn0025635	FBgn0025635	CG17829
FBgn0001341	FBgn0001341	Mybbp1A
FBgn0003575	FBgn0003575	su(sable)
FBgn0025634	FBgn0025634	CG13367
FBgn0025638	FBgn0025638	Roc1a
FBgn0040383	FBgn0040383	CG5254
FBgn0040382	FBgn0040382	CG5273
FBgn0027343	FBgn0027343	fz3
FBgn0025621	FBgn0025621	CG16989
FBgn0029535	FBgn0029535	CG14635
FBgn0026874	FBgn0026874	CG13358
FBgn0025616	FBgn0025616	CG13359
FBgn0015799	FBgn0015799	Rbf
FBgn0025620	FBgn0025620	CG13360
FBgn0015288	FBgn0015288	RpL22
FBgn0029532	FBgn0029532	CG13361
FBgn0029531	FBgn0029531	CG13362
FBgn0025639	FBgn0025639	Hmt4-20
FBgn0002579	FBgn0002579	RpL36
FBgn0026879	FBgn0026879	CG13364
FBgn0029529	FBgn0029529	CG13365
FBgn0025633	FBgn0025633	CG13366
FBgn0040892	FBgn0040892	CG14634
FBgn0040341	FBgn0040341	CG11664
FBgn0029539	FBgn0029539	CG11663
FBgn0040339	FBgn0040339	MED22
FBgn0052815	FBgn0052815	CG32815
FBgn0040340	FBgn0040340	TRAM
FBgn0040347	FBgn0040347	mus81
FBgn0042146	FBgn0042146	CG18823
FBgn0029552	FBgn0029552	CG14631
FBgn0040337	FBgn0040337	CG3021
FBgn0040398	FBgn0040398	CG14629
FBgn0040365	FBgn0040365	CG14628
FBgn0040397	FBgn0040397	CG3655
FBgn0026143	FBgn0026143	Cdc45
FBgn0040351	FBgn0040351	CG11638
FBgn0040338	FBgn0040338	TfIIA-S-2
FBgn0040350	FBgn0040350	CG3690
FBgn0040349	FBgn0040349	CG3699
FBgn0040348	FBgn0040348	CG3703
FBgn0040346	FBgn0040346	CG3704
FBgn0040342	FBgn0040342	CG3706
FBgn0040345	FBgn0040345	CG3708
FBgn0040343	FBgn0040343	CG3713
FBgn0052814	FBgn0052814	CG32814
FBgn0040364	FBgn0040364	CG11378
FBgn0040362	FBgn0040362	CG11379
FBgn0040361	FBgn0040361	CG14627
FBgn0040360	FBgn0040360	CG14626
FBgn0040359	FBgn0040359	CG11380
FBgn0040358	FBgn0040358	CG14625
FBgn0029568	FBgn0029568	CG11381
FBgn0040357	FBgn0040357	CG14624
FBgn0040367	FBgn0040367	CG11382
FBgn0025642	FBgn0025642	CG32812
FBgn0004650	FBgn0004650	fs(1)N
FBgn0024362	FBgn0024362	Naa30A
FBgn0024361	FBgn0024361	Tsp2A
FBgn0024364	FBgn0024364	CG11417
FBgn0029573	FBgn0029573	CG14770
FBgn0024987	FBgn0024987	ssx
FBgn0023169	FBgn0023169	AMPKalpha
FBgn0052813	FBgn0052813	CG32813
FBgn0024985	FBgn0024985	Rilpl
FBgn0027794	FBgn0027794	Lrpprc2
FBgn0027795	FBgn0027795	CG14785
FBgn0024986	FBgn0024986	CG3719
FBgn0000826	FBgn0000826	png
FBgn0024365	FBgn0024365	CG12773
FBgn0024360	FBgn0024360	MTPAP
FBgn0024366	FBgn0024366	CG11409
FBgn0025641	FBgn0025641	DAAM
FBgn0052811	FBgn0052811	CG32811
FBgn0028550	FBgn0028550	Atf3
FBgn0026876	FBgn0026876	CG11403
FBgn0040366	FBgn0040366	CG11398
FBgn0040363	FBgn0040363	CG11384
FBgn0040368	FBgn0040368	eIF4E7
FBgn0026872	FBgn0026872	CG14777
FBgn0029580	FBgn0029580	CG14778
FBgn0025383	FBgn0025383	CG14780
FBgn0025381	FBgn0025381	rush
FBgn0025394	FBgn0025394	inc
FBgn0000482	FBgn0000482	dor
FBgn0001189	FBgn0001189	hfw
FBgn0029587	FBgn0029587	CG14797
FBgn0024897	FBgn0024897	b6
FBgn0025391	FBgn0025391	Scgdelta
FBgn0025378	FBgn0025378	CG3795
FBgn0023130	FBgn0023130	a6
FBgn0023530	FBgn0023530	CG3740
FBgn0025390	FBgn0025390	Mur2B
FBgn0025393	FBgn0025393	CG14795
FBgn0003517	FBgn0003517	sta
FBgn0044508	FBgn0044508	snoRNA:M
FBgn0025382	FBgn0025382	Rab27
FBgn0052808	FBgn0052808	CG32808
FBgn0027791	FBgn0027791	O-fut2
FBgn0027793	FBgn0027793	CG14787
FBgn0052806	FBgn0052806	CG32806
FBgn0026873	FBgn0026873	MED18
FBgn0023513	FBgn0023513	CG14803
FBgn0014411	FBgn0014411	Vps26
FBgn0023514	FBgn0023514	CG14805
FBgn0029594	FBgn0029594	Coa8
FBgn0023519	FBgn0023519	mRpL16
FBgn0023509	FBgn0023509	mip130
FBgn0023510	FBgn0023510	Rbcn-3B
FBgn0023508	FBgn0023508	Ocrl
FBgn0023522	FBgn0023522	CG11596
FBgn0023521	FBgn0023521	CG3587
FBgn0025627	FBgn0025627	CG4194
FBgn0025630	FBgn0025630	Rtca
FBgn0025629	FBgn0025629	CG4045
FBgn0025628	FBgn0025628	CG4199
FBgn0029596	FBgn0029596	CG14054
FBgn0025626	FBgn0025626	CG4281
FBgn0025625	FBgn0025625	Sik2
FBgn0025631	FBgn0025631	moody
FBgn0026878	FBgn0026878	CG4325
FBgn0000667	FBgn0000667	Actn
FBgn0003964	FBgn0003964	usp
FBgn0023545	FBgn0023545	PIG-K
FBgn0023520	FBgn0023520	CG3857
FBgn0023512	FBgn0023512	eIF2Bepsilon
FBgn0023511	FBgn0023511	Edem1
FBgn0052801	FBgn0052801	CG32801
FBgn0023518	FBgn0023518	trr
FBgn0026088	FBgn0026088	CG14818
FBgn0026089	FBgn0026089	CG14817
FBgn0023517	FBgn0023517	Pgam5
FBgn0023516	FBgn0023516	Pex5
