FLYBASE	FLYBASECG	SYMBOL	GENENAME	RhythmicityChange	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	INC1_ZT00	INC1_ZT04	INC1_ZT08	INC1_ZT12	INC1_ZT16	INC1_ZT20	INC1_ZT24	INC1_ZT28	INC1_ZT32	INC1_ZT36	INC1_ZT40	INC1_ZT44
FBgn0016123	CG1462	Alp4	Alkaline phosphatase 4	LOSS	29.81566716	26.9232763	20.15101688	19.93529255	23.72801372	27.20259762	26.94753313	23.3203497	21.59743167	20.8913172	22.26202071	24.15652175	24.91516475	28.97359317	16.54375144	16.71845392	19.58865315	16.35854084	23.34020887	24.57157213	20.48142862	20.93183733	20.12305281	21.25999217
FBgn0031800	CG9497	CG9497	uncharacterized protein	LOSS	14.37576328	13.08639968	10.38674737	8.390231369	11.63530892	11.31987157	14.12069452	13.51416285	10.04181979	9.83133296	11.36419933	13.09889138	14.66993856	13.90881379	10.71120644	12.04818349	16.72848019	13.28725767	18.35441197	16.73383669	12.9291286	15.1538914	16.00675023	14.8809517
FBgn0263077	CG43340	CG43340	uncharacterized protein	LOSS	53.88429388	43.65481178	39.95556543	25.57201039	46.44593076	53.43078983	49.90562886	44.31696145	39.86464722	26.40897782	42.78457285	52.85472442	38.08403803	36.79269398	42.42711912	26.70549084	37.18757046	43.80002378	36.83563768	39.31513642	39.54391393	29.00196193	40.7841572	42.97494541
FBgn0004368	CG6899	Ptp4E	Protein tyrosine phosphatase 4E	LOSS	18.25409829	17.02819081	14.31003738	14.38602724	16.82150188	17.64380207	17.29331076	16.6185547	16.12352669	16.59423794	16.46073314	18.59365995	15.61488359	13.43148993	14.62122648	11.19757445	13.39584043	13.1974548	12.98334779	12.31947418	10.07835111	10.74167962	11.84995878	13.95275603
FBgn0036770	CG5485	Prestin	prestin	LOSS	14.80929966	14.34783777	13.15913013	11.46592781	13.0655613	14.74548811	14.9954775	13.90521835	10.54679845	12.5506238	14.38596787	15.40341439	14.99870308	13.6255207	12.74622512	12.18670168	14.19919801	14.64523758	14.14408638	13.31108421	12.90119718	11.33624276	14.18387049	12.85456644
FBgn0034707	CG5465	MED16	Mediator complex subunit 16	LOSS	4.45108762	4.169862127	3.541605217	3.701158536	4.782576619	4.97967763	3.82302486	3.685947684	3.641280308	4.226240988	4.673213612	3.851759511	3.855279384	3.38690432	2.385268389	3.300649235	3.812652171	3.483245406	3.282116595	3.723053754	4.081042337	3.552962114	4.031836706	2.671128799
FBgn0037726	CG9492	CG9492	uncharacterized protein	LOSS	0.493557909	0.264110046	0.19064375	0.105557523	0.136439297	0.281613985	0.226691985	0.229043991	0.153533529	0.161591039	0.207864457	0.258214197	0.451949954	0.551644574	0.480986786	0.759925241	0.658348481	0.365677864	0.65579322	0.590218228	0.354211761	0.527487549	0.38942849	0.494344775
FBgn0086673	CG13272	CG13272	uncharacterized protein	LOSS	0.999467782	0.773080092	0.458889913	0.325205608	0.494122594	0.695758107	1.149368901	0.582344792	0.302727618	0.208075038	0.487674233	0.59508734	0.321795531	0.262728884	0.149183223	0.251635011	0.252260315	0.300947597	0.222334601	0.386347697	0.307301347	0.252137285	0.209413705	0.267261247
FBgn0000116	CG32031	Argk	Arginine kinase	LOSS	358.1068174	386.388456	310.0289155	284.2987893	307.8069138	324.7240222	341.7982422	412.0782671	318.5818535	284.6351765	298.5083596	297.4304874	308.7222525	332.4433783	239.7805253	246.075264	291.2648989	255.8274477	333.5106851	353.0458887	290.451184	277.705599	309.2793602	274.8042393
FBgn0039737	CG7920	CG7920	uncharacterized protein	LOSS	346.4140806	353.4856438	295.0551982	305.7919573	339.3471569	354.1397556	341.4682402	332.082071	268.7343176	315.1184108	354.3903713	341.0650142	300.721229	291.4009409	237.2308375	293.1948207	301.6697677	304.5532232	314.3886927	331.4839069	321.6580926	319.3083072	314.8093452	241.3234898
