FLYBASE	FLYBASECG	SYMBOL	GENENAME	RhythmicityChange	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	WAKED2_ZT00	WAKED2_ZT04	WAKED2_ZT08	WAKED2_ZT12	WAKED2_ZT16	WAKED2_ZT20	WAKED2_ZT24	WAKED2_ZT28	WAKED2_ZT32	WAKED2_ZT36	WAKED2_ZT40	WAKED2_ZT44
FBgn0016123	CG1462	Alp4	Alkaline phosphatase 4	LOSS	29.81566716	26.9232763	20.15101688	19.93529255	23.72801372	27.20259762	26.94753313	23.3203497	21.59743167	20.8913172	22.26202071	24.15652175	39.58968533	28.431025	18.52500678	37.74050959	19.99940558	26.47786085	35.12419045	28.28325772	19.35869382	18.80658218	22.82243267	22.49594144
FBgn0031800	CG9497	CG9497	uncharacterized protein	LOSS	14.37576328	13.08639968	10.38674737	8.390231369	11.63530892	11.31987157	14.12069452	13.51416285	10.04181979	9.83133296	11.36419933	13.09889138	9.70337785	10.3562155	6.161792228	6.164521568	8.48804349	9.588675157	10.11681182	10.97657918	7.863656421	7.961502294	11.25304619	9.199064914
FBgn0033924	CG8613	CG8613	uncharacterized protein	LOSS	38.03333565	36.8276151	34.10816222	33.18333074	35.73450591	35.76407323	37.61765095	35.53997502	31.65857251	34.32383933	33.68988571	36.20373908	33.19582761	33.6485965	34.13445923	32.26518852	35.38743263	33.23598553	34.86952208	34.50513473	29.86655246	34.55041771	34.2527038	33.3764436
FBgn0037726	CG9492	CG9492	uncharacterized protein	LOSS	0.493557909	0.264110046	0.19064375	0.105557523	0.136439297	0.281613985	0.226691985	0.229043991	0.153533529	0.161591039	0.207864457	0.258214197	0.165281736	0.142566412	0.118704834	0.211998949	0.224920732	0.207341659	0.115126731	0.137398131	0.081408013	0.157015543	0.15329875	0.140197712
FBgn0086673	CG13272	CG13272	uncharacterized protein	LOSS	0.999467782	0.773080092	0.458889913	0.325205608	0.494122594	0.695758107	1.149368901	0.582344792	0.302727618	0.208075038	0.487674233	0.59508734	0.592530878	0.426860652	0.37257674	0.176622255	0.515679477	0.337279021	0.582050112	0.612498663	0.496137666	0.433430522	0.456755541	0.361875803
FBgn0030087	CG7766	CG7766	uncharacterized protein	LOSS	57.9717453	58.52718041	55.51124437	47.52277233	50.09834461	56.15872073	53.9133644	59.42550909	58.29757362	50.74810813	49.46259038	53.94849327	52.59704438	53.28368529	54.4934471	48.42450909	46.67811689	52.66728963	53.80520929	57.4005673	59.56121147	46.85866064	45.56917466	55.19664214
FBgn0033982	CG17453	Cyp317a1	Cyp317a1	LOSS	3.222694098	3.188755273	2.250312184	2.346360857	2.060634734	2.401224437	2.815424564	3.442887505	2.371712765	2.239099542	1.862129045	2.313028708	3.206335985	2.987613529	1.905929545	2.424232119	2.00124861	2.048375944	3.170831455	2.886460892	1.825621912	2.335250042	2.215108884	2.023768884
FBgn0030634	CG9164	CG9164	uncharacterized protein	LOSS	6.711387111	6.806959945	6.181994982	6.020077472	6.752352956	6.881305572	6.608476183	6.347682961	6.026191012	5.729886335	6.207977269	6.444875445	5.521912548	6.245530902	7.646165954	4.945398011	6.080705829	5.985370555	5.857810432	5.488457963	6.228946469	7.085326359	6.398093678	6.49210997
FBgn0036727	CG7589	CG7589	uncharacterized protein	LOSS	4.996344848	3.689136211	3.080444466	2.685946721	2.883956371	3.867785163	4.535495657	3.72998495	2.620310112	3.351150722	2.896596613	3.822747465	5.344080517	3.869493734	2.240829628	4.668042157	3.185816904	3.477859013	4.115034766	3.482765187	1.639085307	2.270616492	3.017957909	2.507282988
FBgn0051235	CG31235	CG31235	uncharacterized protein	LOSS	2.703315051	2.095200831	1.963390979	1.93767255	2.420729616	2.511237834	1.712071158	1.96503126	2.002153554	2.518289887	2.720238532	2.107726929	1.429843057	2.031589369	1.494179587	1.455776238	1.736003736	2.32932018	1.664653985	1.684361876	2.318538834	1.770863345	2.101147667	2.395738409
