FLYBASE	FLYBASECG	SYMBOL	GENENAME	RhythmicityChange	WT2U_ZT00	WT2U_ZT04	WT2U_ZT08	WT2U_ZT12	WT2U_ZT16	WT2U_ZT20	WT2U_ZT24	WT2U_ZT28	WT2U_ZT32	WT2U_ZT36	WT2U_ZT40	WT2U_ZT44	WT2U_old_ZT00	WT2U_old_ZT04	WT2U_old_ZT08	WT2U_old_ZT12	WT2U_old_ZT16	WT2U_old_ZT20	WT2U_old_ZT24	WT2U_old_ZT28	WT2U_old_ZT32	WT2U_old_ZT36	WT2U_old_ZT40	WT2U_old_ZT44
FBgn0034179	CG6805	CG6805	uncharacterized protein	LOSS	53.38229348	47.97922252	42.87043455	43.3564852	46.16243404	52.51484525	53.71557163	48.14231571	38.02149417	45.00970925	47.17109473	47.65670859	52.03993839	46.23118033	44.11452929	54.51353717	49.72932714	51.87703069	48.36226874	47.11442298	42.80178118	49.64517606	51.4997316	56.16944548
FBgn0033924	CG8613	CG8613	uncharacterized protein	LOSS	38.03333565	36.8276151	34.10816222	33.18333074	35.73450591	35.76407323	37.61765095	35.53997502	31.65857251	34.32383933	33.68988571	36.20373908	38.6327658	37.59825581	31.35323074	40.65819716	41.01023496	41.88712583	36.98680337	36.50319275	36.15095364	40.51716891	40.89762116	40.16561145
FBgn0037726	CG9492	CG9492	uncharacterized protein	LOSS	0.493557909	0.264110046	0.19064375	0.105557523	0.136439297	0.281613985	0.226691985	0.229043991	0.153533529	0.161591039	0.207864457	0.258214197	0.425912337	0.231320135	0.160659481	0.235448422	0.182323276	0.161204747	0.188188105	0.096391736	0.171751224	0.129886373	0.099017817	0.135131357
FBgn0030634	CG9164	CG9164	uncharacterized protein	LOSS	6.711387111	6.806959945	6.181994982	6.020077472	6.752352956	6.881305572	6.608476183	6.347682961	6.026191012	5.729886335	6.207977269	6.444875445	5.333211732	6.158898583	6.012179016	7.22041827	6.793295127	8.007605214	5.880878267	5.804671252	5.982017068	8.169936151	7.566079183	7.364945256
FBgn0051235	CG31235	CG31235	uncharacterized protein	LOSS	2.703315051	2.095200831	1.963390979	1.93767255	2.420729616	2.511237834	1.712071158	1.96503126	2.002153554	2.518289887	2.720238532	2.107726929	1.732050508	1.902315942	2.19417111	2.065350284	2.784560373	2.628797566	1.685335842	2.356676512	1.687586935	2.367148643	2.945726914	3.107830196
FBgn0016081	CG32045	fry	furry	LOSS	26.94350332	22.81389467	14.9419756	16.9967547	21.08838588	18.14449848	24.82447021	21.56624166	17.12327356	17.34460246	19.65610078	22.9510186	25.36660881	18.15737467	12.29941823	18.93009573	21.0030955	19.64562687	18.32301179	13.34576772	12.76046375	17.31347906	18.31583584	17.90693715
FBgn0015777	CG9261	nrv2	nervana 2	LOSS	99.13516771	97.50840393	85.66780119	77.20169686	84.18039746	93.15801527	88.23833051	82.47422477	77.16092567	76.5578585	82.42017619	95.07489467	92.24462482	87.87429209	87.12439153	93.4770708	115.3778826	103.2065826	98.34689177	96.71979305	86.79095051	92.63112858	109.9027229	95.4609459
FBgn0035171	CG12502	CG12502	uncharacterized protein	LOSS	19.18719692	19.81118136	17.00696295	18.08819138	17.73163337	17.68879088	18.92412166	19.85213514	18.13594814	18.83190623	16.39509757	14.5952647	18.83837059	18.34904892	15.57893698	21.36741082	19.23448921	23.52411294	17.1824477	16.33497169	18.27242306	22.7724463	21.55294962	22.33932067
FBgn0031695	CG14031	Cyp4ac3	Cyp4ac3	LOSS	7.848527606	7.649904026	7.069167441	5.95794494	6.121424802	7.273376536	8.566988972	7.367704296	6.666567316	6.046573478	5.90446205	7.096912646	7.824719062	6.471010324	6.888050165	8.991999049	8.981067458	10.38140774	8.583299289	7.913605458	8.631213589	9.843194754	9.382090335	11.32388622
FBgn0035290	CG1887	dsb	debris buster	LOSS	30.78297689	30.64626186	25.04261802	17.77313357	29.67366751	29.69206863	28.87814639	24.04986402	21.6938212	21.98556344	32.51012814	28.70516237	20.55655873	21.67388166	21.41408877	19.7975484	27.13148698	20.6860585	33.64075068	30.22080849	20.82848548	22.86083113	23.58717111	19.33256133
