logFC	logCPM	PValue	FDR
FBgn0267472	-4.15277784214004	4.11118556018305	8.81747862815268e-299	8.44538103004464e-295
FBgn0025394	-2.97916493284198	6.04184559176918	3.04904854022906e-213	1.4601893459157e-209
FBgn0267485	-3.11124704243521	4.01997700064638	1.34210770884692e-182	4.28490254511194e-179
FBgn0036585	-5.86681031309955	1.9059139384664	5.33041919055046e-181	1.27636887517731e-177
FBgn0023479	2.01857809727329	8.02539833696415	1.08523483983703e-151	2.07887585919181e-148
FBgn0043806	1.26480643020539	6.40039713800931	2.00175891001937e-145	3.19547447336092e-142
FBgn0003996	4.47868672495532	2.22727789458239	2.04897134991967e-120	2.8035782270758e-117
FBgn0042119	-2.83325960354481	7.04180071243196	4.39800512730102e-104	5.26551163866114e-101
FBgn0033775	1.39250256206887	4.70479084733373	3.91033946254877e-97	4.1614701524769e-94
FBgn0036287	1.47022494539561	2.47910356755978	7.14060705495182e-88	6.83927343723285e-85
FBgn0033926	-2.20661959244711	9.33415956322398	9.74700473384596e-87	8.48698284916151e-84
FBgn0036279	0.938053840461898	6.93979338989107	3.825402607417e-72	3.05330884782e-69
FBgn0039024	1.43113586043559	6.92146321528949	5.93726265942428e-66	4.3743924424589e-63
FBgn0033943	2.60075216334181	0.790469964928381	5.28515111612794e-65	3.61579838501953e-62
FBgn0047205	-4.39920057645353	1.41554799009834	1.38053568740642e-58	8.81518054265245e-56
FBgn0032752	0.821875515736634	5.73121588974331	4.53847555253176e-56	2.71684492763433e-53
FBgn0032899	0.741659488737002	6.73237183626283	5.69312087472654e-55	3.20757127871358e-52
FBgn0000241	-1.62584466462559	5.68105077699535	1.76955781300118e-54	9.41601374051403e-52
FBgn0039255	-3.39558447890451	1.79957312342913	1.21002214223439e-53	6.09978530437949e-51
FBgn0021764	1.07611632100461	6.04843276186786	2.50065248595592e-53	1.19756247552429e-50
FBgn0039709	-1.23807190797177	5.49112346576761	9.68749440078993e-53	4.41842006527457e-50
FBgn0000719	0.798225973217931	5.98188259759567	1.22042334517911e-50	5.3132794546025e-48
FBgn0025692	-1.58046349633472	3.02630370045706	1.07728188864907e-49	4.48617649107862e-47
FBgn0036619	-2.78429698704791	4.81251024445972	1.2065740653448e-48	4.81523599911355e-46
FBgn0052354	1.08244806365369	4.02847496107402	1.11392067377706e-47	4.26765288537466e-45
FBgn0262029	-1.46239483372772	2.65921537148059	4.53717737664888e-47	1.62752228300601e-44
FBgn0035574	-1.03319765868028	4.95151725990173	4.58792040521635e-47	1.62752228300601e-44
FBgn0069973	-1.52792534852632	6.81700639205803	7.66695275972799e-46	2.62264548330981e-43
FBgn0050033	1.08070703053827	6.29097564089736	2.16871240178898e-45	7.16273358080512e-43
FBgn0001202	0.784243660706529	6.77819729714358	1.06706753666524e-43	3.40679095539321e-41
FBgn0029851	1.8176853142219	2.68310100261499	8.7185720078079e-42	2.69375750615433e-39
FBgn0085474	1.58625559205135	1.28503227099955	1.16796537488449e-41	3.49586636270114e-39
FBgn0032810	-0.976413701871221	6.04916162585747	5.59337648725668e-41	1.62343515136195e-38
FBgn0004513	0.798400259282783	6.39923847385904	1.80669786859402e-37	5.08957417217455e-35
FBgn0031775	-2.29899289127346	5.48753251124327	3.2483441412218e-37	8.88932576703496e-35
FBgn0033302	1.86117392391074	1.62565744956353	1.91305042471011e-36	5.08977693552039e-34
FBgn0039495	-1.1350512874884	4.02239722185026	1.31792878434849e-35	3.41165456661886e-33
FBgn0036417	-2.40492974899358	0.549113789784554	1.42313492914768e-34	3.58704903983591e-32
FBgn0000320	-0.886017254841182	5.64497136365549	3.89876737866449e-34	9.57497280842268e-32
FBgn0039665	1.21650647165726	3.59364770553493	1.10187476905081e-33	2.63843913449216e-31
FBgn0038439	-1.87786461970656	1.75511608113648	1.29480093554465e-33	3.02478130747479e-31
FBgn0040502	1.34804098803111	8.83291888972668	3.6925099510864e-32	8.42068102654894e-30
FBgn0003430	1.003580803928	3.82155046252676	5.41342465412594e-32	1.2058088683074e-29
