logFC	logCPM	LR	PValue	FDR
FBgn0267472	-4.1422960499236	4.11376258627444	2619.04504875645	0	0
FBgn0025394	-2.97915829538649	6.04266042478318	5072.76237794786	0	0
FBgn0023479	2.01273328886584	8.02497196199491	1044.475884753	3.86384260926902e-229	1.23359615038595e-225
FBgn0036585	-5.874819915623	1.90766680098266	974.770942048579	5.47297860814004e-214	1.31050472771913e-210
FBgn0267485	-3.11921408415636	4.02282901822555	850.438045044216	5.83894602486656e-187	1.11850850052344e-183
FBgn0043806	1.26517196700161	6.40002229872347	823.223930614431	4.81781244584213e-181	7.69083460104599e-178
FBgn0039024	1.42601473008339	6.92124050173835	716.159096819138	9.15923135497134e-158	1.25324454168451e-154
FBgn0042119	-2.8223031514107	7.04203026550495	670.081904278179	9.58944935612899e-148	1.14809682416254e-144
FBgn0003996	4.486277289123	2.22660875267139	600.432875202452	1.34786156076775e-132	1.43442422544817e-129
FBgn0036279	0.937325451676086	6.93959619666439	588.798775846391	4.5729080969801e-130	4.37993137528754e-127
FBgn0033926	-2.20919891237308	9.33424278603131	579.738915302481	4.27436875857052e-128	3.72180945178077e-125
FBgn0003447	-1.04054635486505	7.00501743610837	579.548128993111	4.70296704854053e-128	3.75375153257677e-125
FBgn0033775	1.38960480939105	4.70393168328738	575.109690420852	4.34340476527253e-127	3.20008698782925e-124
FBgn0034371	0.694419320004425	6.49145475237193	537.05755386915	8.23301044952174e-119	5.6325552918228e-116
FBgn0036022	1.76295720521785	7.79355817442887	535.609634016938	1.70041342997893e-118	1.08577065548921e-115
FBgn0039709	-1.22880790044293	5.4916027714675	517.136824742977	1.77609772396811e-114	1.06321650001041e-111
FBgn0047205	-4.33885789039176	1.42427085484886	514.71725138376	5.96877210055244e-114	3.36287642229949e-111
FBgn0000719	0.797137654699557	5.98129950066051	456.125655712839	3.34983311168256e-101	1.7824834190942e-98
FBgn0001202	0.781497609578685	6.7780564082616	453.167160167803	1.47522818962769e-100	7.43670294750211e-98
FBgn0000055	-2.39718346165889	2.59200726958276	434.312649956592	1.87176321072863e-96	8.96387401617942e-94
FBgn0032752	0.822537250262991	5.73093863442082	419.762601029344	2.7486471596111e-93	1.25364488070263e-90
FBgn0004513	0.796677681229852	6.39895434382475	410.374433158113	3.03824001114419e-91	1.32273921939723e-88
FBgn0087012	-0.886619644615714	6.20499184959408	403.989705324189	7.45481013934101e-90	3.10444223976557e-87
FBgn0069973	-1.51824171416516	6.81712399063765	403.255053105804	1.07735193237496e-89	4.29953200345308e-87
FBgn0036619	-2.85234647186952	4.81374764539169	394.960210024431	6.88732823015496e-88	2.63867319153697e-85
FBgn0086348	-1.8872888820764	5.45042210155578	393.646625496608	1.33049062643906e-87	4.90132277693588e-85
FBgn0036287	1.47082196760506	2.47527267801504	391.096603947221	4.77689949119224e-87	1.6945608639496e-84
FBgn0000241	-1.62575351290802	5.68147536628096	378.244601043236	3.00013970594431e-84	1.02626207512624e-81
FBgn0032899	0.740603333948142	6.73229458092881	358.931052722112	4.81221588467326e-80	1.56484291029477e-77
