logFC	logCPM	LR	PValue	FDR
FBgn0262029	-4.22661992693141	2.66155011629711	1064.27002712609	1.92622499515916e-233	1.84493830036344e-229
FBgn0003996	4.87547760637774	2.22660875267139	711.324612389698	1.03067259816309e-156	4.93589107260302e-153
FBgn0000055	-2.63704873332589	2.59200726958276	516.470981046441	2.47931482240477e-114	7.91562578966429e-111
FBgn0260746	-1.87982738673249	5.57595744070144	435.479929274219	1.04279572344149e-96	2.49697435978064e-93
FBgn0036585	-2.6911067212549	1.90766680098266	414.203446698758	4.45815653189341e-92	8.54004465249502e-89
FBgn0030773	-2.65081256344814	6.83652376862837	330.669350874262	6.87072055335577e-74	1.09679602433403e-70
FBgn0033926	-1.61382897744937	9.33424278603131	322.14512079076	4.93915083515172e-72	6.75816952844046e-69
FBgn0261534	-1.44891745242734	3.54852504497297	256.769954941306	8.68171387117609e-58	1.01420787395501e-54
FBgn0264711	1.64350759438488	1.73230773727939	256.584213454981	9.53003848986753e-58	1.01420787395501e-54
FBgn0051436	1.23584182655074	4.1736926697263	252.71887720462	6.63303802747691e-57	6.35312382271739e-54
FBgn0029173	-0.839998575973702	3.84551252953164	249.098070278349	4.08385097364528e-56	3.55592042050678e-53
FBgn0039297	1.04837941995756	3.04870948670923	241.270021585321	2.07867749692322e-54	1.65913108879421e-51
FBgn0262150	-2.18244182694912	3.61612517621697	222.303285601472	2.8443948457396e-50	2.09566260249953e-47
FBgn0039098	2.19879889895705	1.5368205078599	216.489518010433	5.2739580663509e-49	3.60814073996492e-46
FBgn0014019	-0.760367560541402	9.31613741700403	202.436944656163	6.13835093245975e-46	3.9195416820733e-43
FBgn0030159	-0.609155533631637	6.37209769865118	185.144468439242	3.64971831562628e-42	2.18481262669178e-39
FBgn0037265	-0.726714471308963	5.0342555488822	178.698881134036	9.32208220115105e-41	5.25217078368381e-38
FBgn0036619	-1.76342503079841	4.81374764539169	168.02518204373	1.99756471354532e-38	1.06292637924095e-35
FBgn0266418	-0.689373624560234	5.94874341210472	161.102886365205	6.49659755554087e-37	3.14634818741298e-34
FBgn0015400	1.09519154754461	7.13191846573516	161.08056851845	6.56994818837541e-37	3.14634818741298e-34
FBgn0025827	-0.611863343622621	4.75878486116467	159.020331522066	1.85224353151456e-36	8.44799454516499e-34
FBgn0039255	-2.09681151277517	1.81437766552314	153.359884564172	3.19610654432926e-35	1.3914685673448e-32
FBgn0038652	0.841178622700665	6.02753749044216	144.468468936822	2.80652080097382e-33	1.16873287964032e-30
FBgn0052523	-2.45911616203936	2.31244542519905	140.089532245707	2.54469158557809e-32	1.01554400027779e-29
FBgn0039040	-1.16671315900625	4.79996233512213	138.599128463478	5.38967547322007e-32	2.06489246730007e-29
FBgn0040965	1.09830934589582	2.46342188528268	132.707267708984	1.04776182154065e-30	3.85979335642937e-28
FBgn0039161	-0.621681732418714	4.16426205752794	130.215960459217	3.67534367001695e-30	1.27987131937807e-27
FBgn0051103	-0.477828593876657	5.68546491129148	130.180531337032	3.741532359844e-30	1.27987131937807e-27
FBgn0046999	-0.563458581097966	4.28430142840661	126.797572717486	2.05722340868228e-29	6.79451234770996e-27
FBgn0003162	-0.570936668702255	7.05289965053159	123.206705255524	1.25652364765767e-28	4.01166116575506e-26
FBgn0034165	-0.608864714946877	4.28822940285727	121.400358921603	3.12298969505842e-28	9.64903074169987e-26
FBgn0039495	-0.730980136511256	4.02355012879769	120.606803502868	4.65897502152139e-28	1.39448946112912e-25
FBgn0039025	-0.419943845571037	5.02395131569769	119.942019758249	6.51369451666702e-28	1.89055048729202e-25
FBgn0032022	-0.476378375886244	6.19661323770211	118.022811388777	1.71405337628335e-27	4.8285891876594e-25
FBgn0033730	-1.05167740456508	3.97251026213245	114.717915374228	9.07275170684272e-27	2.48282330994685e-24
FBgn0027843	-0.501390280748546	7.31813849725964	113.58016494624	1.61037272726976e-26	4.28448610605272e-24
FBgn0086348	-0.969045608522231	5.45042210155578	110.918508706148	6.16536845899279e-26	1.59599727297927e-23
FBgn0039026	-0.411236740442994	8.64188489691845	109.611401911246	1.192128608728e-25	3.00479153010443e-23
FBgn0032507	-1.69086597811418	5.29557152706374	107.610609385312	3.27129356459991e-25	8.03396147736871e-23
FBgn0039709	-0.538718312620086	5.4916027714675	106.307969857763	6.31221007487535e-25	1.5114587024289e-22
FBgn0039483	-0.719637264268454	5.15109028128037	106.032525259787	7.25348460971426e-25	1.69448477053276e-22
FBgn0029688	-0.432609198907568	7.80643336402152	101.163096646787	8.4712972630728e-24	1.93185917108836e-21
FBgn0011693	-0.739190031372094	8.47277962053906	99.6346361516807	1.8327110153151e-23	4.08225723364838e-21
FBgn0032266	-1.31154995506112	3.74138527229622	99.0031077858874	2.52105829396064e-23	5.48788553171704e-21
FBgn0050101	-1.50311147740144	0.717157135331316	98.4812304536569	3.28119953920809e-23	6.98385093034112e-21
FBgn0031775	-1.35723842960339	5.4897671800199	98.0376273409368	4.10507562614549e-23	8.54748137983076e-21
FBgn0265068	1.4324895472154	2.81749126833952	97.8825828820718	4.43941393668621e-23	9.04695886927244e-21
FBgn0033728	-0.613162553670542	4.71014421561792	97.1159349966435	6.5384562638009e-23	1.30469446030594e-20
FBgn0039431	0.480277552564876	4.4804195145402	96.940407487896	7.1445627631127e-23	1.39654330908354e-20
FBgn0039299	1.76062830853422	1.56328638730051	95.3827204733517	1.56917375583399e-22	2.96221986525266e-20
FBgn0082831	-0.450943748524656	6.78974085249217	95.3725025300231	1.57729393535065e-22	2.96221986525266e-20
FBgn0040588	-0.771650224448029	4.04412275693947	93.9544931005297	3.22861995583098e-22	5.94686960325944e-20
FBgn0039341	0.62134110646505	4.7155809868491	93.7994413706037	3.49170359455601e-22	6.31010132616179e-20
FBgn0034166	-0.943489452561904	3.20541309416494	92.2774692284108	7.53371440099065e-22	1.31977308280993e-19
FBgn0086347	0.444135595538267	6.5215697127432	92.2657219245132	7.57856750412887e-22	1.31977308280993e-19
FBgn0038946	-0.717690999031009	6.28085275583771	91.7544020860133	9.81297389556517e-22	1.67836899949506e-19
FBgn0265767	-0.338875785446033	6.6318703580557	89.2899211307485	3.40991976018412e-21	5.72986166018308e-19
FBgn0039325	-0.652551986710311	5.82364101536696	87.4599611743724	8.60032866630283e-21	1.4202404821698e-18
FBgn0037298	-0.489779729457094	7.68462224275615	87.1362338034642	1.01297640334655e-20	1.64445559173784e-18
FBgn0034622	-0.818051782401121	5.40722416279839	86.7595302493006	1.22551821646538e-20	1.9563355795509e-18
FBgn0010039	-1.15173868713448	3.70409843364968	85.9295432546417	1.86462170258289e-20	2.92776174874409e-18
FBgn0039048	-0.413749002305686	6.34045515519338	85.1232192532325	2.80339119472271e-20	4.33078723597648e-18
FBgn0037292	0.937724405588057	2.58453064066147	84.5737464239456	3.70147739664082e-20	5.62742071508346e-18
