logFC	logCPM	LR	PValue	FDR
FBgn0035982	-1.40031160631073	4.47850380334622	496.903972945586	4.48339948154255e-110	4.29420002342145e-106
FBgn0284244	1.40676989864855	3.08322555034213	256.86385820834	8.28201173152986e-58	3.96625541822965e-54
FBgn0029507	1.06883918546635	6.00821583254216	242.028013302362	1.42074354752507e-54	4.53596056606505e-51
FBgn0043841	0.565257869098526	10.39314629541	213.534283950386	2.32710021426853e-48	5.572241463066e-45
FBgn0033153	0.885889991164124	4.20860264498064	192.062990111307	1.12729432947558e-43	2.15944501754342e-40
FBgn0039255	1.90374857872127	1.81437766552314	186.562723086872	1.78916159939177e-42	2.85609829982907e-39
FBgn0038299	1.2324153915291	6.95018874178154	181.421598259184	2.37156121387606e-41	3.24497332950069e-38
FBgn0039094	0.980462091839911	4.75090134428778	178.395037430299	1.08606859138841e-40	1.30029562103978e-37
FBgn0034512	1.11550416155165	10.1767799106261	176.912696192592	2.28841929725102e-40	2.43538666989669e-37
FBgn0039807	0.714812771717157	4.46243289549506	170.503685151337	5.74324782354804e-39	5.50088276539431e-36
FBgn0035049	0.485668740625347	6.28207682207192	168.508760024354	1.56630518475223e-38	1.3638246417779e-35
FBgn0050090	1.84446811884379	2.02959293415986	166.707567076769	3.87531490715479e-38	3.09314718172738e-35
FBgn0033593	1.11542360448206	7.02123563993586	165.441392689145	7.32638064686462e-38	5.39785183351302e-35
FBgn0266268	0.598427267120818	5.8253251061709	161.824289731804	4.51935733325335e-37	3.09188603842147e-34
FBgn0034741	1.49331412904649	3.55561749131511	161.682381018299	4.85377887956515e-37	3.09929960723166e-34
FBgn0042201	-1.56603927810606	5.04322933879397	160.563474553663	8.52191593642332e-37	5.10143192744141e-34
FBgn0031307	1.5366388743417	3.5229659706949	157.307677067789	4.38448722627705e-36	2.47027168548715e-33
FBgn0265813	1.47137468650919	2.07767272148287	154.186968668816	2.10799214110776e-35	1.12168604041834e-32
FBgn0032774	0.437267319463384	9.76334166772086	150.489228778108	1.35527393981602e-34	6.83200726081992e-32
FBgn0264695	-0.491143259171056	10.0901756698637	147.619986007045	5.74382327410503e-34	2.7507169659689e-31
FBgn0259175	0.489689925308753	6.1896051971735	145.48435579456	1.68294501368833e-33	7.67583206719373e-31
FBgn0032393	0.503819031764515	6.22470566806422	145.391319559285	1.76363841264118e-33	7.67824032558057e-31
FBgn0039593	1.86144678801517	3.36899459972804	145.00540850484	2.14179805369283e-33	8.91919206881299e-31
FBgn0063492	0.756300984743086	3.15956388465734	144.369028954783	2.95059021746825e-33	1.17753137928796e-30
FBgn0033728	-0.734624586427372	4.71014421561792	138.493585079693	5.68387064127532e-32	2.1776045200854e-29
FBgn0004629	0.658096012352509	8.59915398965747	137.469002461342	9.52180634620776e-32	3.50768696861454e-29
FBgn0030309	0.542497527048536	6.7961156594138	134.950861359947	3.38442115759951e-31	1.20059206842548e-28
FBgn0262150	1.50244926190147	3.61612517621697	125.340918857581	4.28608268117623e-29	1.46614642572521e-26
FBgn0035806	1.01480387592439	5.94929005045143	124.949209359688	5.22141737489382e-29	1.71267782002619e-26
FBgn0014018	0.629628401108881	7.1609248059494	124.895596300999	5.36441163090265e-29	1.71267782002619e-26
FBgn0031432	2.4596225982098	4.37150494081438	124.395230774837	6.9029277844184e-29	2.13278201029546e-26
FBgn0086347	0.512501725123863	6.5215697127432	123.021982741659	1.37912417572829e-28	4.12789104847674e-26
FBgn0028939	-1.24768552448797	3.5045227095435	119.850632407407	6.82079127104685e-28	1.93606781076832e-25
FBgn0036702	0.477421523465472	7.06494874361333	119.835605287299	6.87265666800196e-28	1.93606781076832e-25
FBgn0033130	0.424935552194135	5.23923563940073	119.648129561198	7.55386137208293e-28	2.06716812062315e-25
FBgn0038654	-0.767523107244092	4.05383017339158	119.232956111276	9.31248187491615e-28	2.47763753883186e-25
FBgn0263006	-0.36274916021705	9.51513211495829	118.812880205409	1.15090052949649e-27	2.9250186914167e-25
FBgn0032140	0.580477507592777	6.25690002405203	118.796439491323	1.16047933048481e-27	2.9250186914167e-25
FBgn0036449	0.664440471239394	6.83236040759802	117.699663364486	2.01734748890879e-27	4.95439852532522e-25
FBgn0034468	0.910079963973309	5.15005784746587	117.30424849881	2.46242356817825e-27	5.89627323400282e-25
FBgn0034117	1.08255557465502	6.52879522869184	116.270025960576	4.14794234607654e-27	9.68999799773686e-25
FBgn0031939	0.849623759184197	3.97586878704345	116.156977618415	4.39125433916575e-27	1.00141509667927e-24
FBgn0033814	0.385780050160334	7.21871554328826	114.725696000012	9.03722308973481e-27	2.01298890124372e-24
FBgn0054054	1.06105768690347	4.78504247616791	112.408155780977	2.90829924164368e-26	6.330838667378e-24
FBgn0034417	0.842934665348659	5.34476635072029	112.239641256794	3.16629789532906e-26	6.73928916476928e-24
FBgn0030218	-1.31196970529446	5.556604993954	111.692420650599	4.17274973309335e-26	8.68839063990611e-24
FBgn0038160	1.3192330554715	6.9413668320671	110.947546332425	6.07571980519973e-26	1.23815413391921e-23
FBgn0032008	-0.652424889526598	6.97012844318779	109.682968776385	1.1498556019462e-25	2.29444103238348e-23
FBgn0086348	-0.967217687448165	5.45042210155578	109.48247363995	1.27224463480853e-25	2.48684879840737e-23
FBgn0030830	2.32954954785541	1.52121385787358	109.436210731316	1.30228687352333e-25	2.4946607349213e-23
FBgn0051313	0.534389717046131	6.88750227312645	109.227328857086	1.44701285386087e-25	2.71754688515282e-23
FBgn0003248	-0.513132367077181	8.42390790301795	109.106798418981	1.53773248059269e-25	2.78129883057914e-23
FBgn0265413	0.553470625913319	6.24463191649867	109.105119286277	1.53903568616303e-25	2.78129883057914e-23
FBgn0033139	1.09695720924003	3.00335602726219	108.9621163227	1.65417399454598e-25	2.93401454069655e-23
FBgn0034761	0.994433675839552	7.10597993725762	108.668727150341	1.91807248631999e-25	3.34023604981325e-23
FBgn0032639	2.52551439016337	2.87015675565647	108.30090495379	2.30919097301176e-25	3.9495412749119e-23
FBgn0035165	0.337399951154114	7.25759158681882	108.00240866177	2.68451735929234e-25	4.51093109952668e-23
FBgn0260653	0.870991201672047	3.87482136381499	107.539605677567	3.39061559661993e-25	5.59919244559064e-23
FBgn0033928	0.856653873871654	3.47889016702805	106.696003968856	5.18972023731896e-25	8.42493905644763e-23
FBgn0030310	1.13678721723839	4.19876395088119	105.685372790551	8.64229618089546e-25	1.37959854701028e-22
FBgn0001083	-0.666708698383469	3.62148669520896	104.365837123832	1.68205926957801e-24	2.64110880065871e-22
