logFC_INC1	logCPM_INC1	LR_INC1	PValue_INC1	FDR_INC1	logFC_WAKED2	logCPM_WAKED2	LR_WAKED2	PValue_WAKED2	FDR_WAKED2	logFC_WT2U_old	logCPM_WT2U_old	LR_WT2U_old	PValue_WT2U_old	FDR_WT2U_old
FBgn0036585	-5.874819915623	1.90766680098266	974.770942048579	5.47297860814004e-214	1.31050472771913e-210	-2.6911067212549	1.90766680098266	414.203446698758	4.45815653189341e-92	8.54004465249502e-89	-0.835653344948862	1.90766680098266	51.4505717405014	7.34225964410774e-13	2.33635092595561e-11
FBgn0042119	-2.8223031514107	7.04203026550495	670.081904278179	9.58944935612899e-148	1.14809682416254e-144	-0.292274707618882	7.04203026550495	8.36788756946977	0.00381909295237244	0.0226077084658982	-0.297492513032724	7.04203026550495	8.66980836716634	0.00323525211124068	0.0133221172491243
FBgn0003996	4.486277289123	2.22660875267139	600.432875202452	1.34786156076775e-132	1.43442422544817e-129	4.87547760637774	2.22660875267139	711.324612389698	1.03067259816309e-156	4.93589107260302e-153	-1.0333898118576	2.22660875267139	14.1466811752461	0.000169095140616811	0.00105100146452162
FBgn0033775	1.38960480939105	4.70393168328738	575.109690420852	4.34340476527253e-127	3.20008698782925e-124	-0.198453636346435	4.70393168328738	10.9272115587815	0.000947620146870272	0.00702499117258233	0.567703526226268	4.70393168328738	94.6643228912413	2.25568219081706e-22	2.73480050932226e-20
FBgn0087012	-0.886619644615714	6.20499184959408	403.989705324189	7.45481013934101e-90	3.10444223976557e-87	-0.390968812651587	6.20499184959408	81.8778261593592	1.44764358709932e-19	2.13315850419035e-17	-0.163009976559919	6.20499184959408	14.4019146617153	0.000147652107438829	0.000931628382772796
FBgn0069973	-1.51824171416516	6.81712399063765	403.255053105804	1.07735193237496e-89	4.29953200345308e-87	-0.565393656754571	6.81712399063765	58.7687800654691	1.77332833944259e-14	1.71565038739204e-12	-0.324006721211453	6.81712399063765	19.35511658572	1.08528062112009e-05	9.26454348403583e-05
FBgn0086348	-1.8872888820764	5.45042210155578	393.646625496608	1.33049062643906e-87	4.90132277693588e-85	-0.969045608522231	5.45042210155578	110.918508706148	6.16536845899279e-26	1.59599727297927e-23	-0.967217687448165	5.45042210155578	109.48247363995	1.27224463480853e-25	2.48684879840737e-23
FBgn0000241	-1.62575351290802	5.68147536628096	378.244601043236	3.00013970594431e-84	1.02626207512624e-81	-0.574777587076636	5.68147536628096	50.5129622545852	1.18380326678581e-12	8.5897482494504e-11	-0.195998890386316	5.68147536628096	5.9181183784918	0.0149859544556688	0.0469991721599202
FBgn0033728	-1.2106986241646	4.71014421561792	356.247333256996	1.84811118243886e-79	5.7100673888385e-77	-0.613162553670542	4.71014421561792	97.1159349966435	6.5384562638009e-23	1.30469446030594e-20	-0.734624586427372	4.71014421561792	138.493585079693	5.68387064127532e-32	2.1776045200854e-29
FBgn0032810	-0.978381655074913	6.04958547590719	343.121843478105	1.33351416666141e-76	3.87042384493423e-74	-0.377559876940454	6.04958547590719	53.426627828625	2.68433570932402e-13	2.27527145344296e-11	0.176799588193581	6.04958547590719	11.9156084729162	0.000556655525200884	0.00296367238486607
