logFC	logCPM	PValue	FDR
FBgn0262029	-4.2208536259177	2.65921537148059	1.16215552160847e-224	1.11311255859659e-220
FBgn0003996	4.88507698749317	2.22727789458239	6.49442541349622e-144	3.11018033052334e-140
FBgn0036585	-2.6830106821444	1.9059139384664	2.94637707689985e-75	9.40679988084893e-72
FBgn0033926	-1.61126546614145	9.33415956322398	6.28719071892427e-49	1.50546781764642e-45
FBgn0030773	-2.65510771429017	6.83638332427082	3.21472667513659e-48	6.15813041889165e-45
FBgn0264711	1.6365114781088	1.73109043554893	1.01945994767912e-43	1.62739789647844e-40
FBgn0260746	-1.88610907640185	5.57569860213032	1.07018285373487e-40	1.46431591043894e-37
FBgn0037265	-0.727237385116834	5.0344030440667	5.61622805703425e-35	6.72402904128426e-32
FBgn0015400	1.0975100006085	7.13176254662871	8.38996293810951e-33	8.92878500235699e-30
FBgn0262150	-2.11616141968375	3.61446651199262	4.04749424327168e-32	3.87668998620561e-29
FBgn0261534	-1.4515033220452	3.54793294331439	5.64368207752234e-31	4.91410790350081e-28
FBgn0000055	-2.58969125734703	2.59165097087814	3.19825200711007e-30	2.55273814367502e-27
FBgn0039098	2.19382533635658	1.5336937533114	6.29947827681455e-30	4.64126176425613e-27
FBgn0051436	1.23981524523835	4.17354035592528	2.45385651463756e-29	1.67878840694275e-26
FBgn0266418	-0.685154281431536	5.94900275235187	3.83190394027019e-29	2.44679839599386e-26
FBgn0039255	-2.10282725310285	1.79957312342913	4.30374692936018e-28	2.57633050558824e-25
FBgn0029173	-0.836057921817274	3.84522667047262	2.13532460706828e-25	1.20306700508823e-22
FBgn0040965	1.10024666160999	2.46427943582689	4.85501150769279e-23	2.58340556781564e-20
FBgn0265068	1.43023466112852	2.81523230697457	1.17711604953952e-21	5.93390395920499e-19
FBgn0036619	-1.74087416371844	4.81251024445972	1.38448067697928e-21	6.63027796205378e-19
FBgn0029688	-0.433008589174605	7.80642695798437	1.41825556406666e-20	6.46859609172879e-18
FBgn0003162	-0.569424104400877	7.05296087215899	1.97702975527286e-20	8.60726863454703e-18
FBgn0086347	0.444262188774017	6.52144252702606	3.20806153232101e-19	1.33594840680742e-16
FBgn0034165	-0.609198233564184	4.28768965858131	3.69474868118085e-19	1.47451261951459e-16
FBgn0037298	-0.489011051642372	7.684610372321	2.28668402740557e-18	8.76074384579624e-16
FBgn0025827	-0.611319894892916	4.7584442562941	3.15903975873766e-18	1.16374164650728e-15
FBgn0039025	-0.419913153568295	5.02389305642494	5.95184147517871e-18	2.11136065367636e-15
FBgn0038652	0.854363376677607	6.02752030250196	1.80247647968922e-17	6.16575704373692e-15
FBgn0052523	-2.55134033564916	2.31758131420076	3.96156019212221e-17	1.30840770759126e-14
FBgn0263738	-0.591488356821736	3.29852369280976	1.81111291018029e-16	5.60351181039702e-14
FBgn0000180	0.844353453423832	3.20347271268539	1.81362357613602e-16	5.60351181039702e-14
FBgn0014019	-0.75674704711705	9.3161269937112	4.67468883485493e-16	1.39919280188252e-13
FBgn0039495	-0.725142859438982	4.02239722185026	6.72135948208977e-16	1.95082367028654e-13
FBgn0039297	1.03741533037876	3.04758940668444	1.93593042387654e-15	5.45362988232045e-13
FBgn0261575	-3.66210986401652	6.59900536077314	2.42434427037371e-15	6.63439126332553e-13
FBgn0039299	1.73855147947763	1.56297793260746	2.30303613812558e-14	6.12735559193522e-12
FBgn0031775	-1.3217306514411	5.48753251124327	3.54658475662479e-14	9.18086183755465e-12
FBgn0036146	-0.584241840528769	4.42173841266366	4.97237805327252e-14	1.25330097353274e-11
FBgn0034566	3.05160347336206	2.13275337756141	6.4967599623296e-14	1.59553761331264e-11
FBgn0010039	-1.14596781604034	3.70544677322385	2.19881128702878e-13	5.26505362679041e-11
FBgn0039483	-0.725385163110039	5.15162151816179	2.88438157374354e-13	6.73819675934527e-11
FBgn0027617	-0.530373617446432	2.94297042967524	3.65861530499087e-13	8.34338509314346e-11
FBgn0050101	-1.50743694424255	0.720425408779627	5.05273257351703e-13	1.12546680439875e-10
FBgn0032538	-1.32740867811597	0.738672491021214	5.29492929113097e-13	1.15260983523755e-10
FBgn0039449	1.19809068042615	0.799337296373201	6.42254774181771e-13	1.36700360602511e-10
FBgn0036785	3.20373023598221	1.90073569420862	6.62899023681036e-13	1.38027105409064e-10
FBgn0263986	0.823007992248065	2.63258985154181	8.01631886880142e-13	1.63362344947617e-10
FBgn0038398	-0.803913646896798	6.90997473141278	1.14733493841392e-12	2.2894112583601e-10
FBgn0260461	2.84708183359239	2.65967510394697	2.06047039005273e-12	4.02758885631123e-10
FBgn0035670	2.52199733746365	3.82402646430051	2.39255176678252e-12	4.56233784967408e-10
FBgn0031690	2.84940346380848	1.63182743237232	2.42930914944016e-12	4.56233784967408e-10
FBgn0264750	0.76608870762185	5.10676558268538	2.50835064144319e-12	4.62018893148902e-10
FBgn0250847	3.53254138941702	1.40625345446399	3.89608902059874e-12	7.04089446024428e-10
FBgn0022800	-0.388128464725088	4.44384146252222	4.78273202960575e-12	8.48314951473406e-10
FBgn0039341	0.626624173737798	4.71527634001666	5.70506238717329e-12	9.78723603208291e-10
FBgn0035638	2.30860080943837	1.44027357229892	5.72233470240805e-12	9.78723603208291e-10
FBgn0039709	-0.545045092774468	5.49112346576761	6.9269944685471e-12	1.16397812315341e-09
FBgn0034622	-0.821622773824398	5.40610638065777	8.28314229466312e-12	1.36786098100488e-09
FBgn0010041	-2.3112122502109	0.772290118677445	8.67233048927724e-12	1.40785731231012e-09
FBgn0030933	2.10340657742831	1.57196572378265	9.54123793151716e-12	1.52309961513452e-09
