logFC	logCPM	PValue	FDR
FBgn0035982	-1.40400505320112	4.47919028264054	7.34183058167251e-80	7.03200533112593e-76
FBgn0029507	1.06024235814365	6.00792166331223	2.3165196634318e-44	1.10938126681749e-40
FBgn0039255	1.94355530824832	1.79957312342913	2.99143470983873e-32	9.55065388361178e-29
FBgn0284244	1.43892083898023	3.07845813339244	1.70410819502515e-31	4.08048707298772e-28
FBgn0034512	1.12471388698314	10.1767715442742	6.48260973789156e-30	1.24180872139051e-26
FBgn0265813	1.49453706054672	2.07292027221812	8.47010043335303e-29	1.35211036584425e-25
FBgn0033153	0.889604769714546	4.20796717416179	1.21691330296884e-28	1.66508508797651e-25
FBgn0259175	0.488821789767655	6.18958311080649	1.54529799802401e-26	1.85010802813424e-23
FBgn0014018	0.629137027054282	7.1608983116552	2.44671366104555e-26	2.60384704949936e-23
FBgn0086347	0.512877818262599	6.52144252702606	4.30708030563607e-25	4.12532151673822e-22
FBgn0039807	0.710817279090599	4.46163517976404	1.33834657109277e-24	1.16533485981151e-21
FBgn0050090	1.84933488612582	2.02451380490758	1.9826980920955e-24	1.58252352717422e-21
FBgn0031307	1.55619582115049	3.51953953572593	5.80130452019843e-24	4.27422266880466e-21
FBgn0036145	-0.734457415650243	6.49766274261115	8.51554545261347e-23	5.82584959608085e-20
FBgn0042201	-1.56091791001061	5.04369731988207	1.30936815151055e-22	8.10302998993704e-20
FBgn0031432	2.35404011217353	4.37153774244955	1.3536070143975e-22	8.10302998993704e-20
FBgn0034647	0.975800546116489	3.52290114720047	1.61505388504449e-22	9.09940359468006e-20
FBgn0028396	2.62615468064538	9.3665039772955	4.24874469362209e-22	2.26080425975069e-19
FBgn0030993	0.820839403072987	4.63183754972857	3.46117549481682e-21	1.74479678365029e-18
FBgn0039094	0.972178236691688	4.75049194072483	1.57178006904163e-20	7.52725475064035e-18
FBgn0046776	1.17740518483924	3.63094215036218	3.34970950273279e-20	1.52778655319879e-17
FBgn0262150	1.53988396984948	3.61446651199262	5.19071057783037e-20	2.25984663247542e-17
FBgn0010222	1.82049262687	5.90016924736877	8.32790762191842e-20	3.4680304001189e-17
FBgn0039593	1.8016014018151	3.36570678169744	1.25645510906973e-19	5.01430293111245e-17
FBgn0043806	0.445309053474762	6.40039713800931	1.36455319687037e-19	5.22787620784978e-17
FBgn0034117	1.07094972517194	6.52853849517635	1.46429650483654e-19	5.39424304743246e-17
FBgn0266268	0.590696579138396	5.82499232930698	1.84289937997532e-19	6.53751491163098e-17
FBgn0031701	3.40240721294161	6.39216717527752	2.14704016101587e-19	7.34441095078927e-17
FBgn0011703	1.00153165675492	2.28532399739149	8.03335721586868e-19	2.65322397977897e-16
FBgn0035165	0.337433851076622	7.25757486543003	9.61943959218492e-19	3.07116641379824e-16
FBgn0032008	-0.648825897209497	6.97045950217103	1.181565692543e-18	3.65065683973447e-16
FBgn0043841	0.563901219708641	10.3931350228783	1.33620953849787e-18	3.99944217491644e-16
FBgn0034417	0.851288360796779	5.34445270929868	1.64075156628119e-18	4.76215712177007e-16
FBgn0264695	-0.490380192368169	10.0901762995946	2.45175085751925e-18	6.90672638627039e-16
FBgn0032699	0.744173139853811	5.41362136862875	3.39269295748684e-18	9.28434661337399e-16
FBgn0032639	2.48727575342835	2.86703923565269	6.05817525597033e-18	1.61181118338011e-15
FBgn0267207	-2.06337617801607	0.668712156580015	6.95929026104859e-18	1.80151573298171e-15
FBgn0038631	0.737254813377394	5.05443041070249	1.40436343205897e-17	3.53973498743706e-15
FBgn0033775	0.566542324127665	4.70479084733373	2.45376804554696e-17	6.02620265134585e-15
FBgn0044812	2.80994242254599	8.25473993449572	2.82115344697959e-17	6.75525192879264e-15
FBgn0034741	1.46327842791893	3.55387720135469	4.3162562275952e-17	1.00831956458309e-14
FBgn0032774	0.440727221426028	9.76331985845966	7.67823933811568e-17	1.75100419953505e-14
FBgn0263660	0.686494464334855	2.8760108479793	1.6493657438386e-16	3.67386630104329e-14
FBgn0050022	0.713530367909499	5.57678250538425	2.32494100758212e-16	5.06097385695945e-14
FBgn0003328	0.580575886020308	5.6685634236085	2.38654654513825e-16	5.07963173540759e-14
FBgn0039897	-0.428420435940144	6.36173255491627	3.5661778182283e-16	7.42540242238928e-14
FBgn0000078	1.67036009255464	6.04437652950707	6.59216259053436e-16	1.34339858068379e-13
FBgn0036587	-1.0857495812193	5.54868819742007	7.51614847892183e-16	1.49978479439819e-13
FBgn0031068	0.69446115284382	4.31836449441591	9.09102942724857e-16	1.77701795620789e-13
FBgn0262524	0.975204132011067	2.34622493030454	9.42970787635328e-16	1.80635484079424e-13
FBgn0011828	-0.495451039363768	6.97252531792836	1.11595137338992e-15	2.09580044202522e-13
FBgn0040837	1.39242891726728	2.6855836391032	1.19410324454244e-15	2.19944632235143e-13
FBgn0030218	-1.29073117922914	5.55689605835846	1.67768305112111e-15	3.03185816295057e-13
FBgn0038299	1.24433506015835	6.95007535415157	3.63784081628415e-15	6.4524517293277e-13
