Chr	Start	End	Strand	Length
FBgn0031081	X;X;X;X;X;X;X;X;X;X;X	19961297;19961689;19963176;19963955;19964782;19965006;19965197;19965577;19966183;19967081;19967284	19961600;19961845;19963341;19964071;19964944;19965126;19965511;19966071;19967012;19967223;19969323	+;+;+;+;+;+;+;+;+;+;+	4851
FBgn0052826	X	20025099	20025170	+	72
FBgn0031085	X	20051294	20052519	+	1226
FBgn0062565	X;X;X	20094398;20095288;20095702	20095134;20095648;20095767	+;+;+	1164
FBgn0031088	X;X;X;X;X	20133579;20135014;20135847;20136109;20137465	20134013;20135233;20136004;20137021;20138878	+;+;+;+;+	3140
FBgn0041626	X;X;X	20141819;20141938;20142452	20141884;20142298;20143188	-;-;-	1164
FBgn0040784	X	20110110	20110575	-	466
FBgn0031086	X	20091428	20092408	-	981
FBgn0031082	X	20000968	20002096	-	1129
FBgn0031080	X;X	19958393;19959301	19958900;19959403	-;-	611
FBgn0052821	X	19910168	19910521	-	354
FBgn0053217	3L;3L;3L;3L;3L;3L;3L;3L	23126025;23126200;23126717;23127313;23128260;23130510;23131189;23131408	23126118;23126400;23127251;23127489;23128370;23130654;23131350;23132209	+;+;+;+;+;+;+;+	2227
FBgn0052350	3L	23147656	23150499	-	2844
FBgn0024733	3L;3L;3L;3L;3L	23093190;23094684;23094906;23095275;23095426	23093878;23094846;23095211;23095305;23095471	-;-;-;-;-	1235
FBgn0040372	X;X;X;X;X;X;X;X;X	245978;248382;250294;250626;251050;251351;251823;252430;253069	247596;250238;250535;250993;251291;251763;252360;252803;254650	+;+;+;+;+;+;+;+;+	7235
FBgn0000316	X;X;X;X;X;X;X	255674;255881;256762;256999;257480;257982;258142	255824;256641;256940;257427;257642;258080;258469	+;+;+;+;+;+;+	2110
FBgn0024989	X;X;X;X;X;X;X;X;X	279703;338429;339451;343041;343692;346149;348080;348647;349444	279757;338909;339500;343171;343833;347707;348238;349324;350504	+;+;+;+;+;+;+;+;+	4316
FBgn0040371	X;X	307684;308090	307892;308935	+;+	1055
FBgn0029521	X;X;X	315123;315775;316489	315628;316378;316566	+;+;+	1188
FBgn0004034	X;X	356509;359617	356917;361245	+;+	2038
FBgn0000022	X	370031	370947	+	917
FBgn0004170	X	396060	397497	+	1438
FBgn0002561	X	409721	410817	+	1097
FBgn0000137	X	460747	463176	+	2430
FBgn0029522	X;X;X	476984;477368;478013	477291;477931;478191	+;+;+	1051
FBgn0052817	X;X;X;X	479066;479402;479582;480030	479341;479509;479945;480166	+;+;+;+	885
FBgn0029524	X;X	481862;482118	481997;482768	+;+	787
FBgn0023536	X;X;X;X;X;X	487878;488422;488874;489143;489485;490302	488362;488628;489076;489424;490228;490725	+;+;+;+;+;+	2345
FBgn0023534	X;X;X	494614;494778;495469	494716;495117;496369	+;+;+	1344
FBgn0023535	X;X;X;X;X	509435;509910;510175;526502;527559	509716;510113;510361;526601;528028	+;+;+;+;+	1243
FBgn0023537	X;X;X	490787;492743;493388	492628;493023;493495	-;-;-	2231
FBgn0029525	X;X;X;X;X;X	482777;483268;483884;484310;485028;487465	483045;483828;484246;484965;487403;487581	-;-;-;-;-;-	4342
FBgn0029523	X;X;X	476857;478599;479116	478543;479026;479309	-;-;-	2309
FBgn0010019	X	467057	469335	-	2279
FBgn0011822	X	436139	437448	-	1310
FBgn0052816	X;X;X;X;X;X	316576;333565;334667;418477;428038;470405	317928;333910;334801;418512;428251;470726	-;-;-;-;-;-	2406
FBgn0040370	X;X;X;X;X;X;X	283186;286949;287329;289041;289871;290253;294713	286891;287041;287526;289272;289943;290596;294962	-;-;-;-;-;-;-	4896
FBgn0040373	X;X	243954;245412	245346;245856	-;-	1838
FBgn0000108	X;X;X;X;X;X;X;X;X;X;X;X;X	530501;531170;531627;560606;570862;571131;571427;572137;573853;574196;574942;575168;575471	530534;531189;531876;560776;571000;571352;572070;572289;574002;574878;575089;575362;579044	+;+;+;+;+;+;+;+;+;+;+;+;+	6383
FBgn0025640	X;X;X	623468;623796;624407	623734;624344;624765	+;+;+	1175
FBgn0025635	X;X;X	625542;626504;626899	626362;626820;628016	+;+;+	2256
FBgn0001341	X;X;X;X	629773;630273;630703;632044	630209;630644;631983;633633	+;+;+;+	3680
FBgn0003575	X;X;X;X;X;X;X	635890;636442;638333;638781;639720;641078;641297	636279;636587;638720;639016;641017;641202;643760	+;+;+;+;+;+;+	5047
FBgn0025634	X;X	644761;645990	645913;646386	+;+	1550
FBgn0025638	X;X	647304;647703	647637;648597	+;+	1229
FBgn0040383	X;X;X;X	750347;750794;756186;757805	750731;750855;756506;758719	+;+;+;+	1683
FBgn0040382	X;X	759594;760682	760528;761939	+;+	2193
FBgn0027343	X;X;X	769945;777734;781476	770447;778210;784222	+;+;+	3727
FBgn0025621	X	793147	797061	+	3915
FBgn0029535	X	844823	845297	+	475
FBgn0026874	X;X	803424;804074	804002;804921	-;-	1427
FBgn0025616	X	801669	803470	-	1802
FBgn0015799	X;X;X;X;X;X;X;X	797090;797762;798278;799316;799711;800128;800378;800597	797692;798142;799013;799647;800065;800316;800517;801479	-;-;-;-;-;-;-;-	3619
FBgn0025620	X;X;X	787855;788592;789472	788527;788903;790089	-;-;-	1603
FBgn0015288	X;X;X	762560;764302;765084	762991;764922;765130	-;-;-	1100
FBgn0029532	X;X	752011;752314	752235;753653	-;-	1565
FBgn0029531	X;X;X	749241;750773;751152	750714;750834;751301	-;-;-	1686
FBgn0025639	X;X;X;X	648483;653370;654865;655380	653238;654096;654938;656033	-;-;-;-	6211
