Chr	Start	End	Strand	Length
FBgn0031081	X;X;X;X;X;X;X;X;X;X;X	19961297;19961689;19963176;19963955;19964782;19965006;19965197;19965577;19966183;19967081;19967284	19961600;19961845;19963341;19964071;19964944;19965126;19965511;19966071;19967012;19967223;19969323	+;+;+;+;+;+;+;+;+;+;+	4851
FBgn0031080	X;X	19958393;19959301	19958900;19959403	-;-	611
FBgn0053217	3L;3L;3L;3L;3L;3L;3L;3L	23126025;23126200;23126717;23127313;23128260;23130510;23131189;23131408	23126118;23126400;23127251;23127489;23128370;23130654;23131350;23132209	+;+;+;+;+;+;+;+	2227
FBgn0052350	3L	23147656	23150499	-	2844
FBgn0024733	3L;3L;3L;3L;3L	23093190;23094684;23094906;23095275;23095426	23093878;23094846;23095211;23095305;23095471	-;-;-;-;-	1235
FBgn0040372	X;X;X;X;X;X;X;X;X	245978;248382;250294;250626;251050;251351;251823;252430;253069	247596;250238;250535;250993;251291;251763;252360;252803;254650	+;+;+;+;+;+;+;+;+	7235
FBgn0000316	X;X;X;X;X;X;X	255674;255881;256762;256999;257480;257982;258142	255824;256641;256940;257427;257642;258080;258469	+;+;+;+;+;+;+	2110
FBgn0024989	X;X;X;X;X;X;X;X;X	279703;338429;339451;343041;343692;346149;348080;348647;349444	279757;338909;339500;343171;343833;347707;348238;349324;350504	+;+;+;+;+;+;+;+;+	4316
FBgn0029521	X;X;X	315123;315775;316489	315628;316378;316566	+;+;+	1188
FBgn0029522	X;X;X	476984;477368;478013	477291;477931;478191	+;+;+	1051
FBgn0029524	X;X	481862;482118	481997;482768	+;+	787
FBgn0023536	X;X;X;X;X;X	487878;488422;488874;489143;489485;490302	488362;488628;489076;489424;490228;490725	+;+;+;+;+;+	2345
FBgn0023534	X;X;X	494614;494778;495469	494716;495117;496369	+;+;+	1344
FBgn0023535	X;X;X;X;X	509435;509910;510175;526502;527559	509716;510113;510361;526601;528028	+;+;+;+;+	1243
FBgn0023537	X;X;X	490787;492743;493388	492628;493023;493495	-;-;-	2231
FBgn0029525	X;X;X;X;X;X	482777;483268;483884;484310;485028;487465	483045;483828;484246;484965;487403;487581	-;-;-;-;-;-	4342
FBgn0029523	X;X;X	476857;478599;479116	478543;479026;479309	-;-;-	2309
FBgn0010019	X	467057	469335	-	2279
FBgn0052816	X;X;X;X;X;X	316576;333565;334667;418477;428038;470405	317928;333910;334801;418512;428251;470726	-;-;-;-;-;-	2406
FBgn0040370	X;X;X;X;X;X;X	283186;286949;287329;289041;289871;290253;294713	286891;287041;287526;289272;289943;290596;294962	-;-;-;-;-;-;-	4896
FBgn0040373	X;X	243954;245412	245346;245856	-;-	1838
